1 	Shareef Abdur-Rahim 	PF 	28 	POR 	54 	1867 	18.7 	.581 	.514 	.379 	.058 	7.9 	16.0 	12.1 	10.7 	1.4 	1.0 	13.0 	22.1 	113 	108 	3.9 	1.5 	5.4 	.139
2 	Cory Alexander 	SG 	31 	CHA 	16 	201 	8.8 	.451 	.408 	.245 	.388 	4.3 	12.6 	8.2 	27.7 	2.3 	0.4 	25.9 	16.2 	91 	108 	-0.2 	0.2 	0.0 	.002
3 	Malik Allen 	PF 	26 	TOT 	36 	519 	14.2 	.512 	.475 	.158 	.000 	9.0 	13.3 	11.0 	5.7 	0.9 	3.2 	8.7 	18.1 	108 	106 	0.6 	0.5 	1.1 	.100
4 	Ray Allen 	SG 	29 	SEA 	78 	3064 	20.9 	.555 	.498 	.286 	.372 	3.2 	10.7 	6.9 	18.1 	1.5 	0.1 	9.2 	28.0 	117 	112 	9.7 	1.0 	10.7 	.168
5 	Tony Allen 	SG 	23 	BOS 	77 	1262 	14.7 	.542 	.491 	.393 	.080 	8.0 	12.3 	10.2 	8.2 	3.1 	1.4 	14.5 	18.9 	106 	104 	1.2 	1.6 	2.7 	.103
6 	Rafer Alston 	PG 	28 	TOR 	80 	2717 	16.5 	.522 	.485 	.265 	.399 	1.7 	10.1 	5.8 	31.7 	2.2 	0.2 	13.5 	21.2 	108 	109 	3.8 	1.7 	5.5 	.098
7 	Chris Andersen 	C 	26 	NOH 	67 	1430 	18.5 	.581 	.534 	.531 	.008 	10.9 	23.6 	17.0 	9.1 	0.5 	5.6 	12.7 	16.4 	116 	104 	2.7 	1.8 	4.5 	.152
8 	Derek Anderson 	SG 	30 	POR 	47 	1239 	11.7 	.503 	.463 	.223 	.386 	2.4 	9.2 	6.0 	18.9 	1.6 	0.2 	14.0 	18.5 	103 	111 	0.7 	0.6 	1.3 	.052
9 	Kenny Anderson 	PG 	34 	TOT 	43 	743 	10.1 	.467 	.438 	.184 	.065 	3.6 	10.5 	6.9 	22.2 	2.3 	0.0 	18.4 	16.1 	96 	112 	-0.1 	0.3 	0.2 	.011
10 	Shandon Anderson 	SF-SG 	31 	TOT 	66 	1171 	9.0 	.518 	.463 	.304 	.134 	4.3 	14.4 	9.5 	8.7 	1.8 	0.9 	16.9 	11.8 	103 	103 	0.5 	1.6 	2.1 	.085
11 	Carmelo Anthony 	SF 	20 	DEN 	75 	2608 	16.7 	.526 	.448 	.466 	.128 	6.3 	12.5 	9.4 	13.1 	1.3 	0.9 	13.1 	29.2 	103 	107 	2.3 	2.6 	4.9 	.090
12 	Rafael Araujo 	C 	24 	TOR 	59 	736 	7.1 	.492 	.437 	.314 	.017 	8.9 	19.7 	14.2 	3.4 	1.5 	0.8 	20.7 	15.6 	92 	107 	-0.4 	0.7 	0.3 	.016
13 	Gilbert Arenas 	PG 	23 	WAS 	80 	3274 	21.3 	.565 	.498 	.420 	.369 	2.8 	10.5 	6.5 	22.9 	2.2 	0.5 	11.8 	27.3 	115 	109 	9.2 	2.3 	11.5 	.169
14 	Trevor Ariza 	SF 	19 	NYK 	80 	1382 	13.3 	.503 	.446 	.447 	.033 	7.5 	13.1 	10.3 	9.8 	2.7 	1.0 	13.6 	17.8 	103 	107 	0.8 	1.3 	2.1 	.073
15 	Darrell Armstrong 	PG 	36 	TOT 	66 	988 	11.0 	.430 	.372 	.245 	.401 	4.0 	9.3 	6.7 	27.9 	2.4 	0.6 	17.9 	17.3 	96 	106 	-0.2 	1.0 	0.8 	.039
16 	Carlos Arroyo 	PG 	25 	TOT 	70 	1448 	11.3 	.466 	.399 	.347 	.070 	2.1 	6.5 	4.3 	32.3 	1.7 	0.2 	17.8 	19.3 	99 	109 	0.3 	1.0 	1.3 	.043
17 	Chucky Atkins 	PG 	30 	LAL 	82 	2903 	13.4 	.558 	.523 	.223 	.500 	1.2 	6.4 	3.8 	20.6 	1.3 	0.1 	13.1 	17.9 	112 	115 	4.7 	-0.2 	4.5 	.074
18 	Stacey Augmon 	SF 	36 	ORL 	55 	663 	9.8 	.480 	.407 	.461 	.000 	7.7 	9.0 	8.4 	8.1 	1.8 	0.9 	13.4 	15.3 	102 	109 	0.3 	0.4 	0.7 	.053
19 	Maurice Baker 	PG 	25 	TOT 	5 	19 	-0.2 	.000 	.000 	.000 	.000 	6.3 	5.8 	6.1 	7.2 	2.8 	0.0 	50.0 	4.8 	48 	109 	0.0 	0.0 	0.0 	-0.057
20 	Vin Baker 	PF-C 	33 	TOT 	27 	204 	1.4 	.354 	.310 	.405 	.024 	9.7 	12.7 	11.2 	7.2 	0.5 	1.5 	25.6 	14.9 	73 	111 	-0.5 	0.1 	-0.4 	-0.091
21 	Marcus Banks 	PG 	23 	BOS 	81 	1145 	12.3 	.520 	.439 	.570 	.206 	3.0 	9.7 	6.4 	20.3 	2.8 	0.9 	18.1 	17.2 	104 	106 	0.8 	1.2 	1.9 	.081
22 	Leandro Barbosa 	PG 	22 	PHO 	63 	1087 	12.8 	.575 	.547 	.195 	.393 	3.3 	9.2 	6.4 	16.7 	1.4 	0.4 	18.5 	18.9 	107 	110 	1.2 	0.6 	1.8 	.081
23 	Matt Barnes 	SF 	24 	SAC 	43 	715 	9.0 	.465 	.427 	.384 	.146 	7.7 	13.1 	10.4 	11.1 	2.2 	0.7 	20.3 	13.8 	95 	108 	-0.2 	0.6 	0.4 	.028
24 	Andre Barrett 	PG 	22 	TOT 	38 	483 	8.6 	.446 	.419 	.153 	.419 	2.7 	6.7 	4.7 	22.3 	2.1 	0.1 	16.9 	15.0 	96 	106 	-0.1 	0.5 	0.4 	.041
25 	Brent Barry 	SG 	33 	SAS 	81 	1742 	14.0 	.580 	.532 	.294 	.610 	1.9 	10.8 	6.4 	16.3 	1.2 	0.8 	11.0 	15.6 	119 	102 	3.5 	2.7 	6.1 	.168
26 	Jon Barry 	SG 	35 	TOT 	69 	1505 	13.4 	.570 	.534 	.193 	.448 	2.0 	10.1 	6.2 	18.1 	2.1 	0.5 	14.4 	14.4 	113 	105 	2.1 	1.8 	3.9 	.125
27 	Tony Battie 	C 	28 	ORL 	81 	1894 	8.6 	.498 	.460 	.266 	.017 	6.5 	20.0 	13.4 	3.2 	0.8 	3.0 	17.0 	11.0 	98 	106 	0.1 	1.9 	2.0 	.051
28 	Shane Battier 	SG 	26 	MEM 	80 	2516 	14.8 	.555 	.499 	.372 	.289 	7.6 	12.1 	9.8 	8.3 	2.0 	2.4 	9.5 	14.8 	117 	103 	4.4 	3.4 	7.8 	.149
29 	Lonny Baxter 	PF 	26 	NOH 	4 	36 	-8.0 	.253 	.273 	.182 	.000 	12.6 	13.7 	13.2 	0.0 	0.0 	0.0 	25.2 	20.5 	52 	112 	-0.2 	0.0 	-0.2 	-0.266
30 	Raja Bell 	SG 	28 	UTA 	63 	1790 	12.2 	.527 	.495 	.225 	.201 	3.2 	10.9 	7.0 	9.3 	1.3 	0.4 	9.7 	20.9 	105 	112 	1.6 	0.6 	2.2 	.060
31 	Jonathan Bender 	SF 	24 	IND 	7 	93 	5.8 	.422 	.413 	.150 	.125 	6.5 	11.4 	9.0 	8.6 	0.6 	1.6 	19.0 	27.1 	77 	108 	-0.3 	0.1 	-0.2 	-0.120
32 	Travis Best 	PG 	32 	NJN 	76 	1461 	11.9 	.508 	.449 	.270 	.188 	1.5 	7.4 	4.4 	17.4 	2.4 	0.5 	11.7 	18.4 	102 	105 	0.8 	1.8 	2.5 	.084
33 	Mike Bibby 	PG 	26 	SAC 	80 	3084 	19.2 	.543 	.495 	.327 	.288 	2.8 	9.2 	6.0 	28.1 	2.1 	0.7 	12.3 	23.8 	112 	110 	6.6 	1.9 	8.5 	.133
34 	Andris Biedrins 	C 	18 	GSW 	30 	384 	14.8 	.570 	.577 	.513 	.013 	12.7 	21.1 	16.7 	4.9 	1.6 	4.4 	11.2 	12.4 	119 	102 	0.7 	0.6 	1.2 	.154
35 	Chauncey Billups 	PG 	28 	DET 	80 	2866 	19.0 	.609 	.533 	.418 	.424 	2.0 	9.0 	5.5 	28.2 	1.6 	0.2 	14.3 	20.7 	121 	105 	8.6 	3.5 	12.1 	.202
36 	Steve Blake 	PG 	24 	WAS 	44 	648 	8.4 	.468 	.425 	.220 	.500 	3.0 	9.5 	6.2 	16.2 	1.0 	0.0 	16.0 	16.4 	98 	112 	0.0 	0.2 	0.3 	.020
37 	Mark Blount 	C 	29 	BOS 	82 	2130 	12.5 	.559 	.529 	.265 	.002 	8.0 	13.6 	10.9 	9.9 	0.8 	2.3 	18.6 	17.9 	103 	108 	1.2 	1.6 	2.8 	.063
38 	Tony Bobbitt 	SG 	25 	LAL 	2 	12 	11.7 	.500 	.500 	.000 	.400 	0.0 	28.0 	14.1 	0.0 	0.0 	0.0 	0.0 	18.8 	106 	111 	0.0 	0.0 	0.0 	.059
39 	Keith Bogans 	SG 	24 	CHA 	74 	1791 	10.4 	.465 	.422 	.266 	.251 	4.6 	10.1 	7.2 	12.6 	2.0 	0.3 	13.7 	22.0 	93 	110 	-1.0 	1.1 	0.1 	.002
40 	Matt Bonner 	C 	24 	TOR 	82 	1553 	14.7 	.596 	.576 	.153 	.199 	7.7 	13.1 	10.4 	5.3 	1.3 	0.9 	7.5 	15.7 	120 	110 	3.3 	0.9 	4.2 	.130
41 	Calvin Booth 	C 	28 	TOT 	51 	451 	11.9 	.508 	.454 	.296 	.009 	7.4 	19.7 	13.6 	2.7 	1.7 	4.6 	11.6 	13.8 	105 	102 	0.3 	0.7 	1.0 	.101
42 	Carlos Boozer 	PF 	23 	UTA 	51 	1772 	19.2 	.560 	.521 	.387 	.001 	9.6 	22.7 	16.0 	15.9 	1.3 	1.1 	14.5 	24.6 	108 	108 	2.7 	1.4 	4.1 	.111
43 	Curtis Borchardt 	C 	24 	UTA 	67 	859 	9.4 	.492 	.430 	.413 	.000 	12.1 	20.5 	16.2 	9.1 	0.6 	3.2 	20.4 	13.7 	100 	109 	0.2 	0.6 	0.8 	.046
44 	Chris Bosh 	PF 	20 	TOR 	81 	3017 	17.5 	.547 	.472 	.539 	.010 	7.1 	20.0 	13.5 	8.6 	1.3 	2.7 	13.1 	21.7 	107 	107 	3.9 	2.9 	6.8 	.108
45 	Bruce Bowen 	SF 	33 	SAS 	82 	2627 	9.5 	.521 	.505 	.187 	.423 	2.2 	10.5 	6.3 	7.5 	1.1 	1.1 	8.1 	12.5 	109 	102 	2.1 	4.0 	6.1 	.111
46 	Ryan Bowen 	SF 	29 	HOU 	66 	604 	7.7 	.462 	.437 	.189 	.054 	4.2 	10.4 	7.3 	4.7 	2.1 	0.6 	5.5 	9.9 	104 	103 	0.2 	0.9 	1.1 	.087
47 	Earl Boykins 	PG 	28 	DEN 	82 	2162 	17.1 	.530 	.447 	.368 	.201 	2.0 	5.6 	3.8 	28.1 	1.9 	0.4 	11.2 	22.2 	112 	108 	4.2 	1.7 	6.0 	.133
48 	Michael Bradley 	PF 	25 	TOT 	18 	119 	11.7 	.600 	.625 	.333 	.042 	7.6 	18.7 	13.2 	6.7 	0.4 	1.2 	15.4 	12.1 	111 	109 	0.1 	0.1 	0.2 	.082
49 	Shawn Bradley 	C 	32 	DAL 	77 	885 	11.0 	.494 	.452 	.339 	.000 	9.0 	17.8 	13.5 	2.5 	1.5 	5.3 	13.4 	12.5 	104 	101 	0.4 	1.5 	1.9 	.102
50 	Torraye Braggs 	PF 	28 	HOU 	7 	24 	11.6 	.429 	.429 	.000 	.000 	34.9 	23.7 	29.2 	0.0 	0.0 	0.0 	22.2 	17.7 	99 	103 	0.0 	0.0 	0.0 	.073
51 	Elton Brand 	PF 	25 	LAC 	81 	3001 	22.4 	.554 	.503 	.387 	.002 	12.2 	18.4 	15.4 	13.3 	1.1 	4.3 	11.1 	25.4 	113 	104 	6.9 	3.7 	10.6 	.169
52 	Jamison Brewer 	PG 	24 	NYK 	18 	185 	4.0 	.363 	.338 	.351 	.405 	3.8 	10.2 	7.0 	9.4 	2.3 	0.4 	23.3 	13.7 	73 	109 	-0.4 	0.1 	-0.3 	-0.074
53 	Primoz Brezec 	C 	25 	CHA 	72 	2276 	16.1 	.550 	.512 	.291 	.000 	10.8 	16.2 	13.3 	6.6 	0.8 	1.8 	11.1 	18.7 	111 	109 	3.5 	1.4 	4.9 	.104
54 	Damone Brown 	SF 	25 	WAS 	14 	152 	7.4 	.409 	.403 	.145 	.177 	7.1 	13.8 	10.4 	15.4 	0.3 	2.9 	18.5 	23.3 	83 	110 	-0.3 	0.1 	-0.2 	-0.073
55 	Devin Brown 	SG 	26 	SAS 	67 	1238 	14.6 	.530 	.478 	.318 	.296 	3.5 	13.1 	8.3 	12.4 	1.7 	0.7 	10.2 	19.5 	109 	100 	1.6 	2.1 	3.7 	.145
56 	Kedrick Brown 	SF 	23 	PHI 	8 	55 	9.7 	.577 	.333 	1.667 	.500 	2.0 	20.7 	11.2 	10.3 	2.8 	1.4 	32.5 	12.4 	92 	101 	0.0 	0.1 	0.1 	.060
57 	Kwame Brown 	PF 	22 	WAS 	42 	908 	10.4 	.497 	.460 	.544 	.000 	8.6 	17.2 	12.8 	6.8 	1.4 	1.2 	18.6 	17.4 	96 	108 	-0.2 	0.8 	0.6 	.032
58 	P.J. Brown 	PF 	35 	NOH 	82 	2817 	15.5 	.512 	.446 	.321 	.000 	10.7 	20.6 	15.5 	11.2 	1.4 	1.4 	10.5 	15.9 	112 	106 	4.0 	2.9 	6.9 	.118
59 	Tierre Brown 	PG 	25 	LAL 	76 	1066 	9.5 	.437 	.394 	.216 	.207 	2.2 	7.6 	4.9 	23.6 	1.6 	0.1 	16.3 	19.3 	94 	114 	-0.5 	0.0 	-0.5 	-0.021
60 	Rick Brunson 	PG 	32 	LAC 	80 	1945 	11.6 	.460 	.430 	.167 	.294 	1.5 	9.8 	5.8 	32.7 	2.3 	0.3 	20.8 	14.3 	99 	108 	0.3 	1.6 	1.9 	.048
61 	Kobe Bryant 	SG 	26 	LAL 	66 	2689 	23.3 	.563 	.482 	.502 	.292 	4.0 	12.4 	8.2 	28.5 	1.7 	1.4 	14.3 	31.7 	111 	111 	7.1 	1.0 	8.1 	.145
62 	Greg Buckner 	SG 	28 	DEN 	70 	1522 	13.7 	.638 	.609 	.267 	.399 	5.0 	10.7 	7.9 	13.2 	2.5 	0.3 	12.6 	11.4 	126 	105 	3.0 	1.8 	4.8 	.153
63 	Rodney Buford 	SF 	27 	NJN 	64 	1313 	9.5 	.437 	.417 	.092 	.221 	3.0 	14.5 	8.7 	8.7 	1.6 	0.3 	6.4 	19.4 	92 	104 	-0.8 	1.6 	0.8 	.030
64 	Antonio Burks 	PG 	24 	MEM 	24 	219 	12.8 	.534 	.492 	.317 	.183 	0.5 	6.0 	3.3 	21.9 	3.2 	0.4 	14.9 	17.3 	106 	104 	0.2 	0.3 	0.5 	.103
65 	Caron Butler 	SF 	24 	LAL 	77 	2746 	15.8 	.528 	.464 	.322 	.126 	6.0 	12.4 	9.2 	9.3 	2.1 	0.6 	9.9 	20.7 	110 	111 	4.1 	1.2 	5.3 	.093
66 	Jackie Butler 	C 	19 	NYK 	3 	5 	90.3 	1.025 	1.000 	.500 	.000 	0.0 	0.0 	0.0 	0.0 	10.6 	0.0 	17.0 	53.7 	170 	95 	0.1 	0.0 	0.1 	1.333
67 	Rasual Butler 	SF 	25 	MIA 	65 	1203 	10.3 	.488 	.468 	.117 	.374 	1.5 	12.7 	7.3 	8.1 	0.8 	1.8 	7.9 	18.1 	100 	105 	0.3 	1.4 	1.7 	.068
68 	Zarko Cabarkapa 	PF 	23 	TOT 	40 	475 	16.9 	.579 	.523 	.367 	.203 	7.7 	16.1 	11.7 	9.0 	1.1 	0.7 	12.7 	21.9 	112 	108 	0.9 	0.4 	1.3 	.127
69 	Marcus Camby 	C 	30 	DEN 	66 	2015 	18.0 	.505 	.465 	.288 	.007 	7.5 	30.1 	18.9 	12.0 	1.6 	7.4 	13.2 	17.2 	103 	96 	1.2 	4.5 	5.8 	.138
70 	Elden Campbell 	C 	36 	TOT 	40 	390 	7.2 	.408 	.317 	.447 	.016 	8.5 	19.5 	14.0 	8.0 	1.1 	1.4 	16.5 	21.2 	85 	101 	-0.6 	0.6 	0.0 	.003
71 	Brian Cardinal 	PF 	27 	MEM 	58 	1433 	14.0 	.510 	.421 	.419 	.289 	5.3 	13.5 	9.4 	13.3 	3.3 	1.0 	14.0 	19.6 	104 	101 	1.1 	2.4 	3.5 	.116
72 	Geno Carlisle 	SG 	28 	POR 	6 	16 	18.1 	.709 	.667 	2.000 	.000 	7.5 	0.0 	3.6 	10.3 	0.0 	0.0 	15.1 	19.1 	131 	118 	0.1 	0.0 	0.1 	.173
73 	Matt Carroll 	SG 	24 	CHA 	25 	430 	14.7 	.517 	.425 	.461 	.217 	3.3 	13.2 	8.0 	6.8 	2.1 	0.4 	10.4 	24.9 	104 	108 	0.4 	0.3 	0.7 	.078
74 	Anthony Carter 	PG 	29 	MIN 	66 	742 	11.3 	.454 	.412 	.288 	.096 	1.9 	8.4 	5.3 	32.2 	2.5 	1.7 	23.7 	16.4 	95 	106 	-0.3 	0.8 	0.5 	.034
75 	Vince Carter 	SF-SG 	28 	TOT 	77 	2828 	22.9 	.541 	.493 	.299 	.203 	4.4 	12.6 	8.4 	25.7 	2.1 	1.3 	8.8 	31.6 	109 	104 	5.9 	3.5 	9.4 	.159
76 	Sam Cassell 	PG 	35 	MIN 	59 	1522 	18.6 	.529 	.484 	.226 	.150 	2.0 	9.5 	5.9 	35.2 	1.3 	0.7 	12.6 	26.4 	109 	109 	2.8 	1.0 	3.8 	.119
77 	Kelvin Cato 	C 	30 	ORL 	62 	1525 	14.9 	.600 	.539 	.481 	.000 	7.6 	22.7 	15.3 	3.9 	1.8 	3.8 	15.1 	12.1 	116 	103 	2.1 	2.2 	4.3 	.137
78 	Lionel Chalmers 	PG 	24 	LAC 	36 	433 	6.5 	.409 	.384 	.192 	.392 	1.1 	7.3 	4.3 	18.6 	1.6 	0.0 	15.0 	17.0 	87 	110 	-0.5 	0.2 	-0.2 	-0.025
79 	Tyson Chandler 	C 	22 	CHI 	80 	2189 	16.4 	.565 	.494 	.802 	.005 	13.4 	26.1 	19.8 	4.8 	1.6 	4.8 	17.2 	14.0 	112 	94 	2.8 	5.5 	8.3 	.183
80 	Calbert Cheaney 	SG 	33 	GSW 	55 	951 	7.8 	.444 	.426 	.140 	.011 	3.5 	11.0 	7.1 	10.5 	0.9 	1.1 	11.1 	14.7 	94 	110 	-0.3 	0.5 	0.3 	.013
81 	Josh Childress 	SG 	21 	ATL 	80 	2376 	15.2 	.543 	.481 	.360 	.087 	9.1 	14.8 	11.8 	10.4 	1.6 	1.1 	12.5 	16.0 	113 	111 	3.7 	0.9 	4.6 	.093
82 	Doug Christie 	SG 	34 	TOT 	52 	1525 	9.9 	.471 	.414 	.235 	.187 	2.8 	10.1 	6.5 	18.3 	2.7 	0.8 	22.1 	13.6 	95 	108 	-0.4 	1.3 	0.9 	.030
83 	Speedy Claxton 	PG 	26 	TOT 	62 	1866 	15.8 	.493 	.430 	.416 	.100 	2.1 	9.1 	5.4 	33.1 	3.0 	0.3 	14.1 	20.1 	106 	107 	1.9 	1.8 	3.7 	.096
84 	Mateen Cleaves 	PG 	27 	SEA 	14 	65 	9.1 	.412 	.357 	.286 	.143 	3.8 	7.5 	5.6 	16.5 	1.7 	0.0 	11.3 	12.6 	102 	113 	0.0 	0.0 	0.0 	.029
85 	Derrick Coleman 	C 	37 	DET 	5 	50 	1.2 	.294 	.214 	.214 	.143 	7.1 	27.9 	17.6 	0.0 	0.0 	0.0 	11.5 	16.3 	70 	102 	-0.1 	0.1 	-0.1 	-0.049
86 	Jason Collier 	C 	27 	ATL 	70 	942 	11.0 	.494 	.471 	.189 	.037 	9.9 	13.0 	11.4 	3.4 	0.8 	1.1 	13.4 	22.4 	96 	113 	-0.1 	0.1 	0.0 	.000
87 	Jarron Collins 	C 	26 	UTA 	50 	961 	8.0 	.509 	.414 	.758 	.006 	7.2 	14.2 	10.6 	9.8 	0.6 	0.5 	14.0 	11.7 	109 	112 	0.9 	0.3 	1.1 	.057
88 	Jason Collins 	C 	26 	NJN 	80 	2542 	8.6 	.471 	.415 	.463 	.013 	7.1 	16.1 	11.5 	6.7 	1.5 	2.3 	14.4 	11.7 	99 	103 	0.2 	3.7 	3.9 	.073
89 	Nick Collison 	C 	24 	SEA 	82 	1396 	15.0 	.570 	.537 	.333 	.008 	13.7 	19.2 	16.5 	3.9 	1.3 	2.8 	13.3 	15.5 	117 	107 	2.7 	1.2 	3.9 	.135
