35 	Brandon Bass 	PF 	28 	BOS 	57 	48 	27.5 	4.3 	8.9 	.480 	0.0 	0.1 	.667 	4.2 	8.8 	.479 	2.6 	3.0 	.850 	1.7 	4.1 	5.9 	1.1 	0.5 	0.9 	1.2 	2.6 	11.1
36 	Shane Battier 	SF 	35 	MIA 	47 	42 	21.1 	1.7 	4.1 	.402 	1.1 	3.3 	.353 	0.5 	0.9 	.585 	0.3 	0.4 	.722 	0.5 	1.6 	2.1 	0.9 	0.6 	0.6 	0.2 	1.9 	4.7
37 	Nicolas Batum 	SF 	25 	POR 	55 	55 	35.9 	4.4 	9.7 	.453 	1.6 	4.8 	.338 	2.8 	4.9 	.567 	2.2 	2.7 	.824 	1.3 	5.1 	6.4 	5.3 	1.0 	0.6 	2.6 	1.9 	12.7
41 	Bradley Beal 	SG 	20 	WAS 	46 	46 	33.3 	6.5 	15.9 	.409 	2.0 	4.8 	.418 	4.5 	11.2 	.405 	1.8 	2.2 	.828 	0.7 	3.1 	3.7 	3.5 	0.9 	0.2 	1.9 	2.1 	16.8
42 	Michael Beasley 	SF 	25 	MIA 	36 	1 	15.4 	3.4 	6.7 	.510 	0.4 	0.9 	.424 	3.0 	5.8 	.524 	1.3 	1.8 	.750 	0.7 	2.7 	3.4 	0.6 	0.4 	0.3 	1.1 	2.0 	8.6
43 	Marco Belinelli 	SF 	27 	SAS 	55 	22 	25.5 	4.4 	8.8 	.499 	1.6 	3.6 	.447 	2.8 	5.2 	.535 	1.2 	1.4 	.821 	0.3 	2.7 	3.0 	2.2 	0.7 	0.0 	1.3 	1.7 	11.6
44 	Anthony Bennett 	SF 	20 	CLE 	44 	0 	12.9 	1.5 	4.4 	.337 	0.3 	1.1 	.229 	1.2 	3.3 	.372 	0.9 	1.4 	.619 	1.0 	2.1 	3.1 	0.3 	0.4 	0.2 	0.9 	1.9 	4.1
45 	Patrick Beverley 	SG 	25 	HOU 	37 	36 	31.9 	3.4 	8.5 	.394 	1.6 	4.5 	.345 	1.8 	4.0 	.449 	1.1 	1.4 	.804 	1.6 	2.4 	4.0 	2.8 	1.4 	0.4 	1.1 	3.0 	9.4
48 	Bismack Biyombo 	C 	21 	CHA 	52 	9 	15.5 	1.3 	2.1 	.645 	0.0 	0.0 	0.0	1.3 	2.1 	.645 	0.8 	1.5 	.538 	1.4 	3.9 	5.3 	0.1 	0.1 	1.2 	0.6 	1.6 	3.5
49 	DeJuan Blair 	PF 	24 	DAL 	56 	13 	18.2 	3.3 	5.9 	.556 	0.0 	0.0 	.000 	3.3 	5.9 	.559 	0.9 	1.5 	.631 	2.0 	3.5 	5.5 	1.0 	0.9 	0.3 	1.1 	2.7 	7.5
50 	Steve Blake 	PG 	33 	TOT 	29 	27 	31.9 	3.1 	8.3 	.376 	1.9 	4.8 	.399 	1.2 	3.6 	.346 	1.0 	1.2 	.800 	0.3 	3.4 	3.7 	7.3 	1.2 	0.1 	2.5 	1.7 	9.1
51 	Andray Blatche 	PF 	27 	BRK 	47 	6 	22.1 	4.8 	10.0 	.481 	0.2 	0.8 	.243 	4.6 	9.2 	.501 	2.2 	3.0 	.743 	1.8 	3.9 	5.7 	1.4 	1.1 	0.5 	1.5 	2.3 	12.0
52 	Eric Bledsoe 	PG 	24 	PHO 	24 	22 	33.5 	6.3 	13.0 	.486 	1.2 	3.3 	.350 	5.1 	9.6 	.532 	4.2 	5.3 	.789 	0.4 	3.8 	4.3 	5.8 	1.5 	0.3 	3.3 	2.5 	18.0
55 	Andrew Bogut 	C 	29 	GSW 	48 	48 	27.5 	3.9 	6.1 	.636 	0.0 	0.0 	0.0	3.9 	6.1 	.636 	0.4 	1.1 	.346 	2.9 	7.8 	10.7 	1.6 	0.8 	1.9 	1.7 	3.0 	8.2
56 	Matt Bonner 	PF 	33 	SAS 	47 	0 	12.0 	1.2 	2.7 	.449 	0.7 	1.6 	.447 	0.5 	1.1 	.451 	0.2 	0.2 	.800 	0.3 	1.7 	2.0 	0.5 	0.3 	0.2 	0.3 	0.9 	3.3
58 	Carlos Boozer 	PF 	32 	CHI 	48 	48 	29.7 	6.2 	13.8 	.452 	0.0 	0.0 	.000 	6.2 	13.8 	.452 	2.3 	3.0 	.778 	1.9 	6.6 	8.6 	1.6 	0.8 	0.4 	2.3 	2.9 	14.8
59 	Chris Bosh 	C 	29 	MIA 	52 	52 	31.9 	6.4 	12.1 	.534 	0.8 	2.2 	.363 	5.7 	9.9 	.572 	3.2 	3.9 	.814 	1.3 	5.5 	6.8 	1.2 	0.9 	1.0 	1.6 	2.6 	16.9
60 	Avery Bradley 	PG 	23 	BOS 	46 	46 	30.6 	6.0 	13.7 	.434 	1.0 	2.9 	.356 	4.9 	10.9 	.454 	1.4 	1.9 	.756 	0.9 	3.1 	3.9 	1.4 	1.0 	0.2 	1.6 	2.6 	14.3
62 	Corey Brewer 	SF 	27 	MIN 	54 	54 	31.9 	4.5 	9.7 	.465 	0.9 	3.0 	.294 	3.6 	6.7 	.541 	1.7 	2.4 	.727 	0.7 	1.7 	2.4 	1.6 	1.6 	0.4 	1.4 	2.7 	11.6
64 	Aaron Brooks 	PG 	29 	TOT 	44 	0 	16.9 	2.5 	6.2 	.405 	1.3 	3.0 	.410 	1.3 	3.2 	.400 	0.9 	1.0 	.848 	0.5 	0.9 	1.4 	1.9 	0.6 	0.2 	1.2 	1.8 	7.2
68 	Kobe Bryant 	SG 	35 	LAL 	6 	6 	29.5 	5.2 	12.2 	.425 	0.5 	2.7 	.188 	4.7 	9.5 	.491 	3.0 	3.5 	.857 	0.3 	4.0 	4.3 	6.3 	1.2 	0.2 	5.7 	1.5 	13.8
71 	Trey Burke 	PG 	21 	UTA 	43 	41 	31.0 	4.9 	13.0 	.375 	1.7 	4.9 	.336 	3.2 	8.1 	.398 	1.4 	1.6 	.910 	0.5 	2.6 	3.1 	5.6 	0.6 	0.1 	1.9 	2.0 	12.8
72 	Alec Burks 	SG 	22 	UTA 	55 	8 	27.4 	4.7 	10.7 	.440 	0.6 	1.7 	.344 	4.1 	9.0 	.458 	3.6 	4.7 	.755 	0.7 	2.5 	3.3 	2.6 	0.8 	0.2 	1.9 	2.3 	13.6
73 	Caron Butler 	SF 	33 	MIL 	34 	13 	24.1 	4.0 	10.4 	.387 	1.6 	4.3 	.361 	2.5 	6.1 	.406 	1.4 	1.6 	.839 	0.5 	4.2 	4.6 	1.6 	0.7 	0.3 	1.5 	1.9 	11.0
74 	Jimmy Butler 	SG 	24 	CHI 	41 	41 	36.6 	3.9 	10.1 	.387 	0.9 	3.4 	.275 	3.0 	6.7 	.444 	3.6 	4.6 	.784 	1.4 	3.6 	5.0 	2.3 	1.9 	0.6 	1.5 	1.4 	12.4
77 	Andrew Bynum 	C 	26 	CLE 	24 	19 	20.0 	3.5 	8.5 	.419 	0.0 	0.0 	0.0	3.5 	8.5 	.419 	1.3 	1.8 	.762 	2.0 	3.3 	5.3 	1.1 	0.3 	1.2 	1.3 	1.2 	8.4
79 	Nick Calathes 	SG 	24 	MEM 	44 	7 	16.6 	2.0 	4.4 	.462 	0.3 	0.9 	.366 	1.7 	3.5 	.487 	0.6 	1.0 	.565 	0.3 	1.5 	1.8 	2.7 	0.9 	0.1 	1.5 	1.9 	5.0
