57	Jordan Adams	MEM	SG	6	17.6	2.17	6.50	.333	0.17	1.50	.111	1.83	2.83	.647	1.00	2.17	0.67	2.50	3.17	1.67	1.50	0.00	6.33
58	T.J. Warren	PHX	SF	4	12.5	2.75	5.25	.524	0.75	1.50	.500	0.00	0.00	.000	0.50	0.75	1.00	1.50	2.50	0.50	0.50	0.25	6.25
59	Erick Green	DEN	PG	6	13.3	2.33	6.17	.378	0.17	1.33	.125	1.33	1.67	.800	1.00	0.50	0.17	1.17	1.33	1.67	0.50	0.17	6.17
60	Elfrid Payton	ORL	PG	6	28.6	2.67	6.67	.400	0.17	0.67	.250	0.67	1.67	.400	4.17	2.17	0.50	2.83	3.33	6.17	1.33	0.33	6.17
61	Gary Harris	DEN	SG	6	20.2	2.17	6.33	.342	0.83	2.83	.294	1.00	1.17	.857	1.17	3.17	0.83	0.50	1.33	1.00	0.33	0.17	6.17
63	Zach Lavine	MIN	SG	4	18.7	2.50	7.25	.345	0.50	1.75	.286	0.50	1.25	.400	3.25	0.50	0.00	2.75	2.75	1.75	0.50	0.00	6.00
67	James McAdoo	GSW	PF	5	13.1	1.80	2.80	.643	0.00	0.00	.000	2.00	2.60	.769	1.00	2.00	1.60	2.00	3.60	0.40	1.20	0.20	5.60
68	Tarik Black	HOU	PF	5	19.2	1.80	3.80	.474	0.00	0.00	.000	2.00	3.20	.625	2.00	3.40	2.80	4.20	7.00	0.20	1.00	0.60	5.60
69	Alex Kirk	CLE	C	4	15.4	1.75	4.25	.412	0.00	0.00	.000	2.00	2.00	1.000	1.00	2.25	0.75	2.25	3.00	0.25	0.00	1.00	5.50
71	Patrick Christopher	MEM	SG	6	11.0	2.00	4.67	.429	0.67	1.83	.364	0.50	0.67	.750	0.33	1.17	0.67	0.00	0.67	0.50	0.17	0.00	5.17
72	Jarnell Stokes	MEM	PF	6	11.0	2.17	3.83	.565	0.00	0.00	.000	0.83	1.17	.714	1.00	1.50	1.50	1.50	3.00	0.17	0.67	0.33	5.17
