1 	Tariq Abdul-Wahad 	SG 	24 	SAC 	49 	49 	1205 	5.3 	12.2 	.435 	0.2 	0.6 	.286 	5.1 	11.5 	.443 	2.8 	4.1 	.691 	2.2 	3.4 	5.6 	1.5 	1.5 	0.5 	2.1 	3.6 	13.6
2 	Shareef Abdur-Rahim 	SF 	22 	VAN 	50 	50 	2021 	6.9 	15.9 	.432 	0.2 	0.6 	.306 	6.7 	15.3 	.438 	6.6 	7.8 	.841 	2.0 	4.6 	6.7 	3.1 	1.2 	1.0 	3.3 	2.4 	20.5
3 	Cory Alexander 	PG 	25 	DEN 	36 	4 	778 	4.5 	12.0 	.373 	1.4 	4.9 	.286 	3.1 	7.2 	.432 	1.7 	2.0 	.841 	0.3 	3.1 	3.4 	5.5 	1.6 	0.2 	3.2 	3.6 	12.1
4 	Ray Allen 	SG 	23 	MIL 	50 	50 	1719 	6.3 	14.1 	.450 	1.5 	4.4 	.356 	4.8 	9.7 	.492 	3.7 	4.1 	.903 	1.2 	3.2 	4.4 	3.7 	1.1 	0.1 	2.6 	2.5 	17.9
5 	Peter Aluma 	C 	25 	SAC 	2 	0 	5 	7.2 	14.4 	.500 	0.0 	0.0 	0.0	7.2 	14.4 	.500 	0.0 	0.0 	0.0	7.2 	7.2 	14.4 	0.0 	7.2 	7.2 	14.4 	28.8 	14.4
6 	Derek Anderson 	SG 	24 	CLE 	38 	13 	978 	4.6 	11.6 	.398 	0.8 	2.5 	.304 	3.8 	9.0 	.424 	5.1 	6.1 	.836 	0.7 	3.3 	4.0 	5.3 	1.8 	0.1 	3.0 	2.7 	15.1
7 	Kenny Anderson 	PG 	28 	BOS 	34 	33 	1010 	5.7 	12.7 	.451 	0.2 	0.9 	.250 	5.5 	11.9 	.465 	3.0 	3.6 	.832 	0.9 	2.8 	3.7 	6.9 	1.2 	0.1 	2.5 	2.8 	14.7
8 	Nick Anderson 	SF 	31 	ORL 	47 	39 	1581 	5.8 	14.6 	.395 	2.2 	6.3 	.347 	3.6 	8.3 	.433 	2.3 	3.7 	.611 	1.2 	5.1 	6.3 	2.1 	1.5 	0.3 	1.9 	1.6 	16.0
9 	Shandon Anderson 	SG 	25 	UTA 	50 	2 	1072 	5.4 	12.2 	.446 	0.5 	1.4 	.341 	5.0 	10.8 	.460 	3.0 	4.2 	.712 	1.6 	2.8 	4.4 	1.9 	1.3 	0.3 	2.2 	3.0 	14.3
10 	Chris Anstey 	C 	24 	DAL 	41 	4 	470 	3.8 	10.6 	.360 	0.0 	0.5 	.000 	3.8 	10.1 	.379 	2.6 	3.7 	.708 	2.7 	4.7 	7.4 	2.1 	1.4 	1.0 	2.0 	7.5 	10.3
