21 	Darrell Arthur 	PF 	26 	DEN 	8 	0 	14.4 	2.8 	6.6 	.415 	0.6 	2.5 	.250 	2.1 	4.1 	.515 	0.9 	1.3 	.700 	0.8 	2.6 	3.4 	1.1 	0.6 	0.1 	1.0 	2.3 	7.0
22 	Omer Asik 	C 	28 	NOP 	8 	8 	27.3 	3.5 	5.8 	.609 	0.0 	0.0 	0.0	3.5 	5.8 	.609 	2.0 	3.6 	.552 	3.5 	6.5 	10.0 	1.5 	0.5 	1.3 	0.9 	2.8 	9.0
23 	D.J. Augustin 	PG 	27 	DET 	10 	0 	21.5 	3.0 	8.3 	.361 	0.7 	3.1 	.226 	2.3 	5.2 	.442 	3.6 	4.5 	.800 	0.2 	1.6 	1.8 	3.1 	0.3 	0.0 	1.7 	1.4 	10.3
24 	Jeff Ayres 	PF 	27 	SAS 	7 	0 	7.6 	0.6 	1.6 	.364 	0.0 	0.0 	0.0	0.6 	1.6 	.364 	0.3 	0.3 	1.000 	1.0 	1.6 	2.6 	0.3 	0.0 	0.1 	0.7 	1.7 	1.4
25 	Luke Babbitt 	SF 	25 	NOP 	4 	0 	12.8 	1.3 	2.5 	.500 	1.3 	2.0 	.625 	0.0 	0.5 	.000 	0.0 	0.0 	0.0	0.3 	1.8 	2.0 	0.5 	0.5 	0.0 	1.0 	2.3 	3.8
26 	Cameron Bairstow 	PF 	24 	CHI 	1 	0 	4.0 	0.0 	1.0 	.000 	0.0 	0.0 	0.0	0.0 	1.0 	.000 	0.0 	0.0 	0.0	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0
27 	Leandro Barbosa 	SG 	32 	GSW 	10 	1 	17.3 	3.2 	6.5 	.492 	0.4 	1.7 	.235 	2.8 	4.8 	.583 	0.7 	0.8 	.875 	0.5 	1.1 	1.6 	1.8 	0.8 	0.4 	1.2 	2.0 	7.5
28 	Jose Barea 	PG 	30 	DAL 	9 	0 	15.7 	2.8 	6.9 	.403 	0.3 	1.2 	.273 	2.4 	5.7 	.431 	1.2 	1.2 	1.000 	0.1 	1.3 	1.4 	3.8 	1.1 	0.0 	0.6 	1.3 	7.1
29 	Harrison Barnes 	SF 	22 	GSW 	10 	10 	28.6 	4.0 	7.4 	.541 	1.3 	2.7 	.481 	2.7 	4.7 	.574 	2.5 	3.2 	.781 	0.6 	4.2 	4.8 	1.5 	0.3 	0.2 	1.0 	1.6 	11.8
30 	Matt Barnes 	SF 	34 	LAC 	8 	6 	25.6 	2.4 	5.8 	.413 	1.1 	3.5 	.321 	1.3 	2.3 	.556 	1.1 	1.4 	.818 	0.3 	1.8 	2.0 	0.5 	0.4 	0.6 	0.6 	2.4 	7.0
31 	Will Barton 	SG 	24 	POR 	8 	0 	10.9 	1.3 	3.9 	.323 	0.1 	0.6 	.200 	1.1 	3.3 	.346 	0.3 	0.6 	.400 	0.0 	1.0 	1.0 	1.0 	0.4 	0.0 	0.6 	1.1 	2.9
32 	Brandon Bass 	PF 	29 	BOS 	8 	0 	15.8 	2.8 	5.0 	.550 	0.0 	0.3 	.000 	2.8 	4.8 	.579 	1.5 	1.6 	.923 	0.5 	1.9 	2.4 	1.0 	0.6 	0.1 	0.9 	1.3 	7.0
33 	Nicolas Batum 	SF 	26 	POR 	7 	7 	33.6 	3.1 	8.6 	.367 	1.4 	4.1 	.345 	1.7 	4.4 	.387 	1.3 	1.4 	.900 	1.1 	6.6 	7.7 	5.7 	1.0 	0.9 	2.3 	2.6 	9.0
34 	Jerryd Bayless 	PG 	26 	MIL 	10 	0 	19.1 	2.3 	5.5 	.418 	0.5 	1.6 	.313 	1.8 	3.9 	.462 	1.6 	1.6 	1.000 	0.2 	1.5 	1.7 	2.1 	0.7 	0.0 	1.4 	2.1 	6.7
35 	Aron Baynes 	C 	28 	SAS 	9 	2 	15.6 	1.9 	3.9 	.486 	0.0 	0.0 	0.0	1.9 	3.9 	.486 	1.0 	1.3 	.750 	1.7 	2.1 	3.8 	0.8 	0.1 	0.1 	1.0 	2.4 	4.8
36 	Kent Bazemore 	SG 	25 	ATL 	6 	0 	12.2 	0.8 	3.0 	.278 	0.2 	0.7 	.250 	0.7 	2.3 	.286 	0.0 	0.3 	.000 	0.2 	1.3 	1.5 	0.8 	0.5 	0.2 	0.8 	1.5 	1.8
