Trevor Booker 	6.42857142857	0.785714285714	4.82857142857	0.657142857143	0.471428571429	0.5	0.544285714286	0.625428571429	0.157142857143	PF 
Carlos Boozer 	11.4	0.466666666667	7.73333333333	0.7	0.3	2.96666666667	0.415666666667	0.806333333333	-0.3	PF 
Chris Bosh 	16.425	0.8	6.75	0.825	1.125	1.6	0.4965	0.82925	1.025	C 
Avery Bradley 	15.15	1.28333333333	3.95	1.13333333333	0.316666666667	1.53333333333	0.447333333333	0.809	1.55	PG 
Elton Brand 	5.5	0.8	5.95	0.1	1.2	0.75	0.5305	0.667	0.1	PF 
Corey Brewer 	11.55	1.16666666667	2.8	1.85	0.416666666667	1.15	0.465833333333	0.716833333333	0.633333333333	SF 
Aaron Brooks 	7.45	2.625	1.225	0.7	0.0	1.2	0.415	0.846	1.125	PG 
Kobe Bryant 	13.075	5.75	4.075	1.025	0.15	5.975	0.4065	0.851	0.625	SG 
Chase Budinger 	6.02	1.04	2.44	0.22	-0.04	1.02	0.3626	0.6896	1.38	SF 
Trey Burke 	16.18	5.28	2.14	0.1	-0.08	1.3	0.5218	0.8148	1.18	PG 
Alec Burks 	15.325	3.35	2.975	0.65	0.1	2.35	0.46375	0.791	1.15	SG 
Caron Butler 	9.15	1.325	4.1	1.05	0.35	0.875	0.37175	0.77475	2.05	SF 
Jimmy Butler 	11.55	2.35	3.96666666667	1.61666666667	0.383333333333	1.63333333333	0.378	0.7715	0.783333333333	SG 
Dwight Buycks 	1.3	1.15	0.95	0.15	-1.38777878078e-17	0.5	0.27625	0.81675	1.2	PG 
Andrew Bynum 	7.3	0.92	5.24	-0.06	0.88	1.06	0.4108	0.7738	-0.08	C 
Will Bynum 	7.8	4.0	0.9	0.6	0.26	2.0	0.3838	0.8596	0.48	PG 
Nick Calathes 	2.625	3.55	1.45	0.6	-0.325	0.975	0.38075	0.389	0.775	SG 
Jose Calderon 	9.1	3.975	1.9	0.85	0.1	2.0	0.4195	0.847	2.1	SG 
Kentavious Caldwell-Pope 	2.9	0.525	1.025	0.675	0.2	0.3	0.38475	0.862	0.2	SG 
Isaiah Canaan 	3.58	1.16	0.66	0.14	0.08	0.68	0.3868	0.7302	0.96	PG 
DeMarre Carroll 	7.24	1.58	4.0	1.34	0.06	0.54	0.4564	0.784	0.9	SF 
Vince Carter 	10.65	2.8	3.1	0.95	0.35	1.4	0.3945	0.7455	1.75	SG 
Michael Carter-Williams 	18.0	6.33333333333	6.01666666667	1.71666666667	0.683333333333	3.93333333333	0.424666666667	0.718166666667	1.26666666667	PG 
Omri Casspi 	6.81428571429	1.35714285714	2.9	0.771428571429	0.314285714286	0.571428571429	0.446714285714	0.681857142857	0.771428571429	PF 
Mario Chalmers 	7.45	4.55	3.35	0.925	-0.175	2.125	0.40225	0.82	1.0	PG 
Tyson Chandler 	6.43333333333	0.766666666667	9.33333333333	0.4	1.23333333333	1.3	0.549	0.606	-5.55111512313e-17	C 
Wilson Chandler 	14.575	1.975	5.2	1.725	0.5	0.175	0.45	0.7655	1.3	SF 
Earl Clark 	4.47142857143	-0.5	2.38571428571	0.157142857143	0.385714285714	0.457142857143	0.345	0.692	0.828571428571	PF 
Norris Cole 	7.34285714286	2.45714285714	2.55714285714	0.814285714286	0.128571428571	1.67142857143	0.392428571429	0.803428571429	1.0	PG 
Darren Collison 	12.9	3.2	2.7	1.3	0.3	1.9	0.408	0.831	1.4	PG 
Nick Collison 	4.05	1.45	3.625	0.275	0.375	0.8	0.549	0.70875	0.1	PF 
Mike Conley 	17.52	5.98	2.56	1.52	0.02	1.8	0.4608	0.8248	1.66	PG 
DeMarcus Cousins 	22.2166666667	3.51666666667	11.75	1.61666666667	1.25	3.66666666667	0.4855	0.757166666667	-0.0666666666667	C 
Jamal Crawford 	17.22	3.46	2.56	0.8	0.04	1.82	0.3852	0.8322	2.32	SG 
Jordan Crawford 	10.425	3.8	1.65	0.825	0.425	1.45	0.35025	0.724	0.85	SG 
Jae Crowder 	3.44	0.68	3.12	0.96	0.4	0.78	0.3762	0.7698	0.4	SF 
Dante Cunningham 	4.41428571429	0.871428571429	3.98571428571	0.842857142857	0.714285714286	0.385714285714	0.450857142857	0.535714285714	-0.0428571428571	SF 
Stephen Curry 	23.625	7.325	4.3	1.525	0.175	3.175	0.461	0.8865	3.275	PG 
Samuel Dalembert 	6.6	-0.02	6.66	0.72	1.26	0.66	0.555	0.751	0.1	C 
Troy Daniels 	8.88	1.3	1.06	0.26	-0.02	0.6	0.5152	0.0582	2.14	SG 
Brandon Davies 	3.225	0.15	1.8	1.425	-0.175	0.35	0.4485	0.453	0.15	PF 
Anthony Davis 	21.54	2.2	9.92	1.14	2.9	1.28	0.5276	0.791	0.16	C 
Ed Davis 	8.16	0.5	3.68	0.16	0.68	1.08	0.5506	0.5542	0.58	PF 
Glen Davis 	7.6	0.533333333333	5.13333333333	0.833333333333	0.433333333333	1.0	0.444	0.685333333333	0.233333333333	PF 
Nando De Colo 	2.34	1.0	1.72	0.48	0.14	0.5	0.4028	0.8716	0.58	SF 
Dewayne Dedmon 	3.46666666667	0.766666666667	3.9	-0.0333333333333	0.8	0.5	0.460666666667	0.601333333333	0.166666666667	C 
Matthew Dellavedova 	4.91666666667	2.46666666667	1.85	0.45	0.0166666666667	0.533333333333	0.424333333333	0.805	0.85	SG 
Luol Deng 	16.72	2.3	5.78	1.02	0.02	1.7	0.4006	0.6228	1.22	SF 
DeMar DeRozan 	22.3	4.2	4.05	1.2	0.5	1.675	0.46	0.78675	0.85	SG 
Boris Diaw 	7.4	2.62	3.04	0.66	0.6	1.48	0.4854	0.8262	0.6	PF 
Gorgui Dieng 	1.13333333333	0.166666666667	2.43333333333	0.4	0.2	-0.433333333333	0.349333333333	0.463666666667	0.2	C 
Toney Douglas 	2.98333333333	1.3	1.56666666667	1.25	-0.0833333333333	0.15	0.409666666667	0.692833333333	0.0333333333333	PG 
Chris Douglas-Roberts 	6.7625	0.7375	2.2375	0.45	0.2875	0.55	0.43625	0.8055	1.2125	SF 
Goran Dragic 	19.525	5.925	3.875	1.075	0.125	2.5	0.4965	0.85	1.45	SG 
Andre Drummond 	14.9	0.98	13.42	1.12	1.38	1.46	0.6358	0.4472	-0.12	C 
