378 	Rod Strickland 	PG 	31 	WAS 	76 	76 	3020 	5.8 	13.5 	.434 	0.1 	0.6 	.250 	5.7 	12.9 	.442 	4.3 	5.9 	.726 	1.3 	3.5 	4.8 	9.5 	1.5 	0.3 	3.2 	2.2 	16.1
379 	Derek Strong 	PF 	29 	ORL 	58 	8 	1638 	5.7 	13.6 	.420 	0.0 	0.1 	.000 	5.7 	13.5 	.423 	4.8 	6.1 	.781 	3.3 	6.0 	9.4 	1.1 	0.7 	0.5 	1.6 	2.7 	16.2
380 	Bob Sura 	SG 	24 	CLE 	46 	4 	942 	3.3 	8.8 	.377 	0.7 	2.3 	.317 	2.6 	6.5 	.398 	2.8 	5.0 	.565 	1.0 	2.6 	3.6 	6.5 	1.7 	0.3 	3.6 	4.3 	10.2
381 	Zan Tabak 	C 	27 	TOT 	57 	34 	984 	5.2 	11.1 	.467 	0.0 	0.0 	.000 	5.2 	11.1 	.469 	0.8 	2.2 	.377 	3.1 	4.7 	7.8 	1.8 	0.7 	1.4 	2.2 	6.0 	11.2
382 	Johnny Taylor 	SF 	23 	ORL 	12 	0 	108 	4.3 	12.3 	.351 	0.3 	0.7 	.500 	4.0 	11.7 	.343 	3.7 	5.3 	.688 	1.3 	3.0 	4.3 	0.3 	1.0 	0.7 	2.7 	7.3 	12.7
383 	Maurice Taylor 	PF 	21 	LAC 	71 	3 	1513 	7.6 	16.1 	.476 	0.0 	0.0 	.000 	7.6 	16.0 	.476 	4.1 	5.8 	.709 	2.8 	4.2 	7.0 	1.3 	0.8 	1.0 	2.5 	5.3 	19.4
384 	Carl Thomas 	SG 	28 	TOT 	43 	0 	426 	4.7 	11.8 	.400 	1.7 	5.0 	.339 	3.0 	6.8 	.444 	1.4 	2.1 	.640 	0.8 	3.1 	4.0 	1.6 	1.8 	0.6 	1.5 	3.3 	12.5
385 	John Thomas 	PF 	22 	TOT 	54 	2 	535 	3.7 	7.6 	.487 	0.0 	0.0 	0.0	3.7 	7.6 	.487 	2.8 	3.6 	.759 	3.2 	3.9 	7.1 	1.1 	1.5 	0.8 	3.1 	6.5 	10.2
386 	Kurt Thomas 	PF 	25 	DAL 	5 	0 	73 	8.4 	22.2 	.378 	0.0 	0.0 	0.0	8.4 	22.2 	.378 	1.5 	1.5 	1.000 	3.9 	7.9 	11.8 	1.5 	0.5 	0.0 	4.9 	9.4 	18.2
387 	Tim Thomas 	SF 	20 	PHI 	77 	48 	1779 	6.2 	13.8 	.447 	1.3 	3.5 	.363 	4.9 	10.4 	.476 	3.5 	4.7 	.740 	2.2 	3.7 	5.8 	1.8 	1.1 	0.3 	2.4 	3.7 	17.1
388 	Brooks Thompson 	PG 	27 	TOT 	30 	0 	167 	5.0 	12.1 	.411 	1.9 	6.5 	.300 	3.0 	5.6 	.538 	0.9 	1.7 	.500 	0.2 	3.0 	3.2 	5.8 	2.2 	0.2 	3.4 	4.7 	12.7
389 	Otis Thorpe 	PF 	35 	TOT 	74 	66 	2197 	4.8 	10.2 	.471 	0.0 	0.1 	.000 	4.8 	10.1 	.475 	2.7 	3.9 	.683 	2.5 	6.3 	8.8 	3.6 	0.8 	0.5 	2.5 	3.9 	12.3
390 	Gary Trent 	PF 	23 	TOT 	54 	20 	1360 	6.4 	13.4 	.477 	0.1 	0.3 	.333 	6.3 	13.1 	.481 	3.8 	5.6 	.679 	3.3 	5.7 	8.9 	1.9 	0.9 	0.7 	2.5 	4.3 	16.7
391 	Nick Van Exel 	PG 	26 	LAL 	64 	46 	2053 	5.5 	13.0 	.419 	2.2 	5.5 	.389 	3.3 	7.5 	.440 	2.4 	3.0 	.791 	0.5 	2.9 	3.4 	7.8 	1.1 	0.1 	1.8 	2.1 	15.4
392 	Keith Van Horn 	PF 	22 	NJN 	62 	62 	2325 	6.9 	16.2 	.426 	1.1 	3.5 	.308 	5.8 	12.7 	.458 	4.0 	4.7 	.846 	2.2 	4.1 	6.3 	1.6 	1.0 	0.4 	2.5 	3.3 	18.9
393 	David Vaughn 	PF 	24 	TOT 	40 	2 	489 	4.9 	10.9 	.446 	0.0 	0.1 	.000 	4.9 	10.8 	.449 	2.2 	3.5 	.638 	3.9 	7.3 	11.2 	1.5 	1.1 	0.7 	2.9 	6.1 	11.9
394 	Jacque Vaughn 	PG 	22 	UTA 	45 	0 	419 	3.8 	10.5 	.361 	0.3 	0.7 	.375 	3.5 	9.8 	.360 	4.1 	5.8 	.706 	0.3 	2.9 	3.3 	7.2 	0.8 	0.1 	4.8 	5.4 	11.9
395 	Loy Vaught 	PF 	29 	LAC 	10 	6 	265 	4.9 	11.4 	.429 	0.0 	0.3 	.000 	4.9 	11.1 	.439 	0.4 	1.1 	.375 	2.2 	6.7 	8.8 	1.0 	0.5 	0.3 	1.8 	4.5 	10.2
396 	Stojko Vrankovic 	C 	34 	LAC 	65 	38 	996 	2.9 	6.7 	.425 	0.0 	0.0 	0.0	2.9 	6.7 	.425 	1.3 	2.3 	.569 	2.6 	6.9 	9.5 	1.3 	0.4 	2.4 	1.7 	4.7 	7.0
397 	Antoine Walker 	PF 	21 	BOS 	82 	82 	3268 	8.0 	18.8 	.423 	1.0 	3.2 	.312 	7.0 	15.6 	.447 	3.4 	5.2 	.645 	3.0 	6.2 	9.2 	3.0 	1.6 	0.7 	3.2 	2.9 	20.3
398 	Samaki Walker 	PF 	21 	DAL 	41 	19 	1027 	5.5 	11.3 	.486 	0.0 	0.0 	.000 	5.5 	11.2 	.488 	1.9 	3.4 	.546 	3.4 	7.2 	10.6 	0.8 	1.1 	1.4 	2.1 	4.5 	12.8
399 	Ben Wallace 	C 	23 	WAS 	67 	16 	1124 	2.7 	5.3 	.518 	0.0 	0.0 	0.0	2.7 	5.3 	.518 	1.1 	3.1 	.357 	3.6 	6.8 	10.4 	0.6 	2.0 	2.3 	0.9 	3.7 	6.6
400 	John Wallace 	SF 	23 	TOR 	82 	36 	2361 	7.1 	14.9 	.478 	0.0 	0.0 	.500 	7.1 	14.9 	.478 	3.2 	4.5 	.717 	1.8 	3.9 	5.7 	1.7 	0.9 	1.5 	2.6 	3.6 	17.5
401 	Rasheed Wallace 	PF 	23 	POR 	77 	77 	2896 	5.8 	10.9 	.533 	0.1 	0.5 	.205 	5.7 	10.4 	.548 	2.3 	3.5 	.662 	1.6 	4.3 	5.9 	2.4 	0.9 	1.1 	2.1 	3.3 	14.0
402 	Rex Walters 	SG 	27 	TOT 	38 	0 	235 	3.7 	8.1 	.453 	0.9 	3.4 	.273 	2.8 	4.7 	.581 	4.0 	4.3 	.929 	0.8 	2.9 	3.7 	5.4 	1.2 	0.2 	4.1 	4.3 	12.3
403 	Charlie Ward 	PG 	27 	NYK 	82 	82 	2317 	3.7 	8.0 	.455 	1.3 	3.3 	.377 	2.4 	4.7 	.512 	1.4 	1.8 	.805 	0.5 	3.8 	4.3 	7.2 	2.2 	0.6 	2.7 	3.0 	10.0
404 	Eric Washington 	SG 	23 	DEN 	66 	36 	1539 	4.7 	11.6 	.404 	1.0 	3.2 	.321 	3.7 	8.4 	.435 	1.5 	1.9 	.783 	1.1 	1.9 	3.0 	1.8 	1.2 	0.6 	1.7 	3.3 	12.0
405 	Clarence Weatherspoon 	PF 	27 	TOT 	79 	49 	2325 	4.1 	9.4 	.441 	0.0 	0.0 	0.0	4.1 	9.4 	.441 	3.1 	4.3 	.722 	3.1 	6.1 	9.2 	1.4 	1.3 	1.1 	1.8 	3.0 	11.4
