202	Nerlens Noel	C	C	PHI	3	3	30.5	3.33	9.00	.370	0.00	0.00	.000	.000	.000	.000	2.00	4.67	.429	2.67	6.00	8.67	2.33	1.33	1.67	2.67	2.33	8.67
4	Tyler Johnson	SG	SG	MIA	1	1	36.2	6.00	13.00	.462	1.00	2.00	.500	.500	.500	.500	4.00	8.00	.500	1.00	3.00	4.00	2.00	4.00	0.00	3.00	5.00	17.00
9	Jabari Parker	PF	PF	MIL	6	6	30.6	5.50	13.00	.423	0.17	1.67	.100	.100	.100	.100	3.50	5.00	.700	1.33	4.50	5.83	1.50	1.00	0.33	2.17	3.33	14.67
10	Mitch McGary	PF	PF	OKC	1	1	36.0	7.00	14.00	.500	0.00	0.00	.000	.000	.000	.000	0.00	0.00	.000	2.00	2.00	4.00	2.00	2.00	0.00	1.00	2.00	14.00
13	Shabazz Napier	PG	PG	MIA	6	6	20.3	3.50	8.50	.412	1.00	3.83	.261	.261	.261	.261	4.67	5.33	.875	0.50	1.67	2.17	3.00	1.00	0.00	1.17	2.00	12.67
16	Andrew Wiggins	SF	SF	MIN	4	4	28.0	4.00	9.75	.410	0.75	1.25	.600	.600	.600	.600	3.00	4.75	.632	2.00	1.75	3.75	1.50	1.50	0.75	0.50	1.75	11.75
17	Kyle Anderson	SF	SF	SAS	4	4	28.6	3.50	7.25	.483	0.75	1.75	.429	.429	.429	.429	3.50	4.50	.778	0.25	5.25	5.50	2.50	1.00	0.25	1.75	2.00	11.25
19	James Ennis	SF	SF	MIA	6	6	20.2	3.17	6.00	.528	0.83	2.00	.417	.417	.417	.417	3.83	4.33	.885	0.33	3.50	3.83	1.33	1.50	0.00	1.33	1.67	11.00
21	Andre Dawkins	SG	SG	MIA	2	2	19.1	3.50	6.00	.583	2.50	4.00	.625	.625	.625	.625	1.50	2.00	.750	0.00	1.50	1.50	0.00	1.00	0.00	1.00	3.00	11.00
23	Jordan Clarkson	SG	SG	LAL	2	2	20.1	2.50	10.00	.250	1.00	3.50	.286	.286	.286	.286	4.50	4.50	1.000	2.00	2.00	4.00	0.50	0.00	0.00	0.50	1.00	10.50
25	James Young	SG	SG	BOS	1	1	19.7	3.00	8.00	.375	1.00	5.00	.200	.200	.200	.200	3.00	5.00	.600	0.00	0.00	0.00	1.00	1.00	0.00	0.00	2.00	10.00
26	Nik Stauskas	SG	SG	SAC	5	5	24.4	3.40	7.60	.447	1.40	3.80	.368	.368	.368	.368	1.40	1.40	1.000	0.20	1.20	1.40	1.00	0.60	0.20	1.60	3.40	9.60
27	P.J. Hairston	SG	SG	CHA	7	7	18.7	3.14	8.00	.393	2.14	4.71	.455	.455	.455	.455	1.00	1.43	.700	0.29	2.43	2.71	0.86	0.57	0.14	0.43	2.71	9.43
29	Kostas Papanikolaou	PF	PF	HOU	5	5	24.2	3.20	8.40	.381	0.80	3.40	.235	.235	.235	.235	1.80	2.00	.900	1.00	2.80	3.80	1.80	1.20	0.60	1.20	2.40	9.00
32	Drew Gordon	PF	PF	PHI	5	5	18.1	3.60	5.60	.643	0.00	0.00	.000	.000	.000	.000	1.40	2.00	.700	0.80	4.00	4.80	0.40	1.00	0.40	0.80	1.60	8.60
33	Shayne Whittington	C	C	IND	2	2	17.7	3.50	4.50	.778	0.00	0.00	.000	.000	.000	.000	1.50	1.50	1.000	0.50	0.50	1.00	1.00	0.00	0.00	3.00	1.50	8.50
35	Rodney Hood	SF	SF	UTA	4	4	24.7	3.25	5.75	.565	1.25	2.75	.455	.455	.455	.455	0.75	1.50	.500	0.00	4.00	4.00	1.50	0.50	0.00	0.50	3.75	8.50
