1 	Shareef Abdur-Rahim 	PF 	29 	SAC 	72 	1961 	17.2 	.588 	.529 	.440 	.035 	6.4 	14.8 	10.6 	13.2 	1.3 	1.6 	12.5 	20.1 	115 	105 	4.0 	2.2 	6.2 	.152
2 	Alex Acker 	SG 	23 	DET 	5 	35 	-2.4 	.281 	.281 	.000 	.313 	3.4 	13.7 	8.5 	17.9 	1.6 	0.0 	20.0 	27.2 	61 	105 	-0.2 	0.0 	-0.2 	-0.230
3 	Malik Allen 	PF 	27 	CHI 	54 	701 	11.5 	.504 	.492 	.154 	.004 	7.2 	15.7 	11.5 	4.9 	1.0 	1.8 	11.4 	19.2 	98 	104 	0.0 	1.0 	1.0 	.068
4 	Ray Allen 	SG 	30 	SEA 	78 	3022 	22.2 	.590 	.544 	.239 	.435 	2.8 	10.6 	6.6 	17.2 	1.8 	0.4 	10.2 	27.4 	118 	116 	9.8 	-0.3 	9.5 	.150
5 	Tony Allen 	PG 	24 	BOS 	51 	978 	12.9 	.554 	.491 	.489 	.124 	4.1 	9.6 	6.9 	11.2 	2.7 	1.4 	16.8 	18.8 	103 	106 	0.6 	1.0 	1.7 	.082
6 	Rafer Alston 	PG 	29 	HOU 	63 	2431 	12.6 	.475 	.449 	.194 	.423 	1.8 	10.4 	6.1 	30.8 	2.3 	0.5 	16.4 	18.8 	99 	104 	0.2 	3.1 	3.4 	.067
7 	Chris Andersen 	C 	27 	NOK 	32 	570 	14.1 	.562 	.571 	1.051 	.000 	12.4 	20.2 	16.2 	1.7 	0.8 	5.9 	15.4 	13.9 	109 	104 	0.6 	0.7 	1.3 	.112
8 	Alan Anderson 	SF 	23 	CHA 	36 	564 	10.4 	.520 	.481 	.227 	.320 	4.4 	10.3 	7.2 	9.3 	1.0 	0.6 	13.9 	18.2 	101 	111 	0.2 	0.3 	0.4 	.037
9 	Derek Anderson 	SG 	31 	TOT 	43 	1047 	10.8 	.496 	.422 	.366 	.442 	2.4 	13.3 	8.0 	15.7 	1.2 	0.5 	13.3 	18.2 	102 	106 	0.5 	1.1 	1.6 	.074
10 	Shandon Anderson 	SF 	32 	MIA 	48 	638 	6.2 	.470 	.448 	.143 	.151 	3.5 	11.1 	7.5 	6.9 	1.4 	0.7 	15.2 	11.4 	95 	106 	-0.1 	0.7 	0.5 	.039
11 	Martynas Andriuskevicius 	C 	19 	CLE 	6 	9 	15.5 	.000 	.000 	.000 	.000 	13.0 	39.8 	26.3 	0.0 	11.9 	0.0 	0.0 	5.1 	64 	78 	0.0 	0.0 	0.0 	.155
12 	Carmelo Anthony 	SF 	21 	DEN 	80 	2941 	22.0 	.563 	.493 	.451 	.097 	4.9 	10.7 	7.8 	14.3 	1.5 	1.1 	10.4 	32.0 	110 	108 	6.8 	2.6 	9.4 	.153
13 	Rafael Araujo 	C 	25 	TOR 	52 	601 	4.5 	.385 	.366 	.193 	.007 	8.4 	21.5 	14.6 	3.7 	2.1 	0.8 	21.1 	15.3 	77 	110 	-1.2 	0.4 	-0.8 	-0.066
14 	Gilbert Arenas 	PG 	24 	WAS 	80 	3384 	23.8 	.581 	.507 	.479 	.324 	2.0 	7.8 	4.8 	27.0 	2.5 	0.6 	12.8 	30.5 	115 	108 	11.0 	2.6 	13.6 	.193
15 	Trevor Ariza 	SF 	20 	TOT 	57 	999 	11.8 	.468 	.414 	.562 	.022 	9.6 	17.1 	13.3 	9.8 	3.0 	0.9 	18.0 	15.8 	96 	106 	-0.1 	1.0 	0.9 	.043
16 	Darrell Armstrong 	PG 	37 	DAL 	62 	622 	7.3 	.444 	.379 	.328 	.375 	3.6 	12.0 	7.8 	20.6 	2.4 	0.4 	28.4 	15.4 	87 	105 	-0.7 	0.7 	0.0 	.003
17 	Carlos Arroyo 	PG-SG 	26 	TOT 	77 	1194 	15.6 	.512 	.454 	.362 	.053 	3.3 	9.8 	6.6 	31.6 	1.7 	0.2 	15.9 	20.7 	108 	107 	1.6 	1.1 	2.7 	.107
18 	Chucky Atkins 	PG-SG 	31 	TOT 	71 	1713 	12.9 	.526 	.479 	.284 	.478 	1.6 	6.8 	4.2 	20.0 	1.4 	0.1 	11.9 	20.2 	108 	108 	2.1 	1.4 	3.6 	.100
19 	Stacey Augmon 	SF 	37 	ORL 	36 	385 	7.6 	.412 	.342 	.411 	.000 	5.9 	10.9 	8.5 	9.0 	1.7 	1.2 	11.3 	12.0 	96 	108 	0.0 	0.3 	0.3 	.033
20 	Vin Baker 	C 	34 	LAC 	8 	85 	11.2 	.589 	.467 	1.200 	.000 	2.9 	22.2 	13.0 	7.0 	2.5 	3.5 	28.2 	17.4 	93 	98 	0.0 	0.2 	0.1 	.072
21 	Marcus Banks 	PG 	24 	TOT 	58 	1497 	13.6 	.543 	.491 	.314 	.135 	1.9 	8.8 	5.4 	25.3 	1.9 	0.6 	18.3 	20.6 	102 	107 	0.9 	1.4 	2.3 	.074
22 	Leandro Barbosa 	SG 	23 	PHO 	57 	1592 	15.1 	.589 	.558 	.259 	.346 	2.2 	8.1 	5.2 	14.4 	1.5 	0.3 	12.3 	20.3 	111 	108 	2.6 	1.2 	3.8 	.115
23 	Matt Barnes 	PF-SF 	25 	TOT 	56 	631 	10.7 	.545 	.511 	.336 	.107 	8.9 	13.7 	11.3 	7.0 	1.6 	0.8 	15.7 	13.8 	108 	109 	0.5 	0.4 	1.0 	.075
24 	Andre Barrett 	PG 	23 	TOT 	19 	282 	11.3 	.398 	.375 	.115 	.135 	3.7 	7.1 	5.4 	29.5 	1.9 	0.0 	12.1 	20.3 	94 	114 	-0.1 	0.0 	-0.1 	-0.019
25 	Earl Barron 	C 	24 	MIA 	8 	45 	-2.8 	.366 	.313 	.250 	.000 	5.5 	20.1 	13.1 	0.0 	0.0 	0.0 	22.0 	23.4 	65 	107 	-0.2 	0.0 	-0.2 	-0.167
26 	Brent Barry 	SG 	34 	SAS 	74 	1259 	14.8 	.581 	.568 	.171 	.586 	2.8 	11.9 	7.5 	15.5 	1.7 	1.5 	12.3 	16.0 	115 	100 	2.1 	2.2 	4.3 	.162
27 	Jon Barry 	SG 	36 	HOU 	20 	342 	8.5 	.553 	.477 	.446 	.492 	0.3 	10.1 	5.3 	12.5 	2.1 	0.2 	22.1 	13.9 	97 	105 	0.0 	0.4 	0.4 	.055
28 	Eddie Basden 	SF 	22 	CHI 	19 	141 	10.3 	.471 	.419 	.270 	.189 	5.7 	17.0 	11.4 	8.8 	3.3 	1.1 	17.9 	16.1 	92 	99 	-0.1 	0.3 	0.2 	.065
29 	Brandon Bass 	PF 	20 	NOK 	29 	268 	9.1 	.434 	.400 	.271 	.000 	7.8 	22.8 	15.1 	1.8 	0.6 	2.2 	12.3 	15.6 	90 	106 	-0.2 	0.3 	0.1 	.013
30 	Esteban Batista 	PF 	22 	ATL 	57 	495 	7.1 	.489 	.425 	.663 	.013 	14.4 	20.7 	17.5 	2.1 	1.6 	1.7 	26.9 	13.0 	92 	109 	-0.2 	0.3 	0.1 	.011
31 	Tony Battie 	C 	29 	ORL 	82 	2215 	12.2 	.531 	.507 	.243 	.011 	8.3 	16.9 	12.7 	3.7 	1.1 	2.5 	12.6 	14.9 	106 	107 	1.7 	2.2 	3.8 	.083
32 	Shane Battier 	SF 	27 	MEM 	81 	2839 	14.7 	.574 	.540 	.335 	.266 	7.1 	11.2 	9.2 	8.2 	1.8 	3.2 	11.2 	13.7 	117 	102 	4.6 	4.5 	9.1 	.153
33 	Lonny Baxter 	C-PF 	27 	TOT 	41 	400 	11.9 	.494 	.433 	.337 	.000 	13.2 	21.3 	17.1 	1.7 	1.5 	1.6 	14.3 	16.2 	101 	103 	0.1 	0.6 	0.7 	.088
34 	Charlie Bell 	SG 	26 	MIL 	59 	1283 	14.7 	.550 	.526 	.217 	.410 	1.9 	9.3 	5.6 	16.6 	2.4 	0.3 	8.4 	17.5 	114 	108 	2.2 	1.1 	3.3 	.123
