1 	Alaa Abdelnaby 	PF 	24 	TOT 	75 	52 	1311 	6.7 	13.0 	.518 	0.0 	0.0 	.000 	6.7 	13.0 	.519 	2.4 	3.2 	.759 	3.5 	5.8 	9.3 	0.7 	0.7 	0.7 	2.7 	5.2 	15.9
2 	Mahmoud Abdul-Rauf 	PG 	23 	DEN 	81 	81 	2710 	8.4 	18.7 	.450 	0.9 	2.6 	.355 	7.5 	16.1 	.465 	2.9 	3.1 	.935 	0.7 	2.3 	3.0 	4.6 	1.1 	0.1 	2.5 	2.4 	20.6
3 	Mark Acres 	C 	30 	TOT 	18 	7 	269 	3.5 	6.6 	.531 	0.1 	0.3 	.500 	3.3 	6.3 	.532 	1.5 	2.1 	.688 	3.5 	5.5 	9.0 	0.7 	0.4 	0.8 	1.7 	4.6 	8.6
4 	Michael Adams 	PG 	30 	WSB 	70 	70 	2499 	5.3 	12.0 	.439 	1.0 	3.1 	.321 	4.3 	8.9 	.480 	3.4 	4.0 	.856 	0.7 	2.7 	3.5 	7.6 	1.4 	0.1 	2.5 	2.1 	14.9
5 	Rafael Addison 	SF 	28 	NJN 	68 	15 	1164 	5.6 	12.7 	.443 	0.2 	1.1 	.206 	5.4 	11.7 	.464 	1.8 	2.2 	.814 	1.4 	2.7 	4.1 	1.6 	0.7 	0.3 	2.0 	3.9 	13.2
6 	Mark Aguirre 	SF 	33 	DET 	51 	15 	1056 	6.4 	14.4 	.443 	1.0 	2.8 	.361 	5.4 	11.6 	.463 	3.4 	4.4 	.767 	1.5 	3.7 	5.2 	3.6 	0.5 	0.2 	2.3 	3.4 	17.1
7 	Danny Ainge 	SG 	33 	PHO 	80 	0 	2163 	5.6 	12.1 	.462 	2.5 	6.2 	.403 	3.1 	6.0 	.522 	2.0 	2.4 	.848 	0.8 	2.7 	3.6 	4.3 	1.1 	0.1 	1.9 	2.9 	15.8
8 	Victor Alexander 	C 	23 	GSW 	72 	59 	1753 	7.1 	13.7 	.516 	0.2 	0.5 	.455 	6.9 	13.2 	.518 	2.3 	3.3 	.685 	2.7 	5.9 	8.6 	1.9 	0.7 	1.1 	2.5 	4.5 	16.6
9 	Eric Anderson 	PF 	22 	NYK 	16 	0 	44 	4.1 	14.7 	.278 	0.0 	0.0 	0.0	4.1 	14.7 	.278 	9.0 	10.6 	.846 	4.9 	6.5 	11.5 	2.5 	2.5 	0.8 	4.1 	11.5 	17.2
10 	Kenny Anderson 	PG 	22 	NJN 	55 	55 	2010 	6.6 	15.2 	.435 	0.1 	0.4 	.280 	6.5 	14.8 	.440 	3.2 	4.2 	.776 	0.9 	3.1 	4.0 	8.0 	1.7 	0.2 	2.7 	2.5 	16.6
11 	Nick Anderson 	SG 	25 	ORL 	79 	76 	2920 	7.3 	16.3 	.449 	1.1 	3.1 	.353 	6.2 	13.3 	.471 	3.7 	5.0 	.741 	1.5 	4.4 	5.9 	3.3 	1.6 	0.7 	2.0 	2.5 	19.4
12 	Ron Anderson 	SF 	34 	PHI 	69 	0 	1263 	6.4 	15.5 	.414 	1.1 	3.4 	.325 	5.3 	12.1 	.439 	2.1 	2.5 	.809 	1.8 	3.5 	5.2 	2.7 	0.9 	0.1 	1.8 	2.1 	16.0
13 	Willie Anderson 	SG 	26 	SAS 	38 	7 	560 	5.1 	12.0 	.430 	0.1 	0.5 	.125 	5.1 	11.4 	.444 	1.4 	1.8 	.786 	0.5 	3.2 	3.7 	5.1 	0.9 	0.4 	2.8 	3.3 	11.8
14 	Greg Anthony 	PG 	25 	NYK 	70 	35 	1699 	3.7 	8.9 	.415 	0.1 	0.6 	.133 	3.6 	8.2 	.437 	2.3 	3.4 	.673 	0.9 	2.7 	3.6 	8.4 	2.4 	0.3 	2.2 	3.0 	9.7
15 	B.J. Armstrong 	PG 	25 	CHI 	82 	74 	2492 	5.9 	11.8 	.499 	0.9 	2.0 	.453 	5.0 	9.8 	.508 	1.9 	2.2 	.861 	0.4 	1.8 	2.2 	4.8 	1.0 	0.1 	1.2 	2.4 	14.6
16 	Vincent Askew 	SG 	26 	TOT 	73 	4 	1129 	4.8 	9.9 	.492 	0.1 	0.2 	.333 	4.8 	9.7 	.495 	3.3 	4.8 	.705 	2.0 	3.2 	5.1 	3.9 	1.3 	0.6 	2.2 	4.3 	13.1
17 	Keith Askins 	SF 	25 	MIA 	69 	1 	935 	3.4 	8.2 	.413 	0.8 	2.5 	.338 	2.5 	5.7 	.446 	1.1 	1.5 	.725 	2.8 	4.8 	7.6 	1.2 	1.2 	1.1 	1.4 	5.4 	8.7
18 	Stacey Augmon 	SG 	24 	ATL 	73 	66 	2112 	6.8 	13.5 	.501 	0.0 	0.1 	.000 	6.8 	13.4 	.504 	3.9 	5.2 	.739 	2.4 	2.5 	4.9 	2.9 	1.6 	0.3 	2.7 	2.4 	17.4
19 	Isaac Austin 	C 	23 	UTA 	46 	3 	306 	5.9 	13.2 	.446 	0.0 	0.1 	.000 	5.9 	13.1 	.450 	3.4 	5.2 	.659 	4.5 	4.8 	9.3 	0.7 	0.9 	1.6 	2.7 	7.1 	15.2
20 	Anthony Avent 	PF 	23 	MIL 	82 	78 	2285 	5.5 	12.6 	.433 	0.0 	0.0 	.000 	5.5 	12.6 	.434 	1.8 	2.7 	.651 	2.8 	5.2 	8.1 	1.4 	0.9 	1.2 	2.2 	3.7 	12.7
21 	John Bagley 	PG 	32 	BOS 	10 	0 	97 	3.3 	9.3 	.360 	0.0 	0.4 	.000 	3.3 	8.9 	.375 	1.9 	2.2 	.833 	0.4 	2.2 	2.6 	7.4 	0.7 	0.0 	6.3 	4.1 	8.5
22 	Thurl Bailey 	PF 	31 	MIN 	70 	3 	1276 	5.7 	12.6 	.455 	0.0 	0.0 	0.0	5.7 	12.6 	.455 	3.4 	4.0 	.838 	1.5 	4.6 	6.1 	1.7 	0.6 	1.3 	1.7 	2.5 	14.8
