1 	Mahmoud Abdul-Rauf 	PG 	31 	VAN 	41 	486 	16.7 	.514 	.496 	.118 	.057 	1.2 	4.7 	2.9 	32.7 	1.0 	0.1 	9.1 	26.8 	104 	111 	0.7 	0.0 	0.7 	.070
2 	Tariq Abdul-Wahad 	SG 	26 	DEN 	29 	420 	5.8 	.438 	.405 	.324 	.090 	3.6 	11.8 	7.6 	8.1 	1.7 	2.1 	21.1 	17.1 	79 	106 	-0.7 	0.3 	-0.4 	-0.049
3 	Shareef Abdur-Rahim 	SF 	24 	VAN 	81 	3241 	19.1 	.549 	.477 	.415 	.050 	6.2 	19.6 	13.0 	14.3 	1.5 	1.6 	13.2 	24.6 	106 	104 	5.6 	2.9 	8.5 	.126
4 	Cory Alexander 	PG 	27 	ORL 	26 	227 	6.3 	.407 	.357 	.321 	.286 	0.0 	12.5 	6.1 	23.5 	3.6 	0.0 	28.1 	17.3 	77 	100 	-0.5 	0.3 	-0.1 	-0.031
5 	Courtney Alexander 	PG 	23 	TOT 	65 	1382 	11.6 	.484 	.432 	.262 	.080 	3.5 	8.4 	5.9 	8.0 	1.7 	0.3 	10.5 	23.2 	96 	109 	0.3 	0.5 	0.8 	.027
6 	Ray Allen 	SG 	25 	MIL 	82 	3129 	22.9 	.610 	.557 	.299 	.357 	3.7 	11.8 	7.8 	20.4 	2.1 	0.5 	12.1 	24.4 	119 	106 	11.5 	2.2 	13.7 	.211
7 	Rafer Alston 	PG 	24 	MIL 	37 	288 	12.1 	.429 	.405 	.155 	.357 	1.6 	10.6 	6.1 	34.6 	2.4 	0.0 	18.2 	17.2 	98 	106 	0.1 	0.2 	0.3 	.055
8 	John Amaechi 	C 	30 	ORL 	82 	1710 	8.7 	.455 	.400 	.471 	.012 	4.9 	12.7 	8.7 	7.0 	0.8 	1.2 	14.8 	21.7 	89 	105 	-1.3 	1.4 	0.0 	.001
9 	Derek Anderson 	SG 	26 	SAS 	82 	2859 	17.1 	.542 	.467 	.405 	.255 	3.1 	10.9 	7.2 	18.1 	2.2 	0.3 	12.4 	21.9 	109 	99 	5.6 	4.3 	9.9 	.166
10 	Kenny Anderson 	PG 	30 	BOS 	33 	849 	12.2 	.476 	.412 	.313 	.145 	2.1 	8.2 	5.0 	26.5 	2.7 	0.2 	16.8 	16.6 	100 	105 	0.4 	0.7 	1.1 	.063
11 	Nick Anderson 	SG 	33 	SAC 	21 	169 	6.4 	.333 	.333 	.000 	.684 	2.0 	13.7 	8.0 	11.0 	3.0 	1.6 	10.9 	16.7 	76 	98 	-0.3 	0.3 	0.0 	-0.011
12 	Shandon Anderson 	SG 	27 	HOU 	82 	2396 	11.9 	.528 	.485 	.319 	.288 	3.6 	12.3 	8.0 	12.5 	1.8 	1.2 	16.3 	15.4 	103 	105 	1.9 	2.0 	3.9 	.078
13 	Greg Anthony 	PG 	33 	POR 	58 	856 	12.0 	.525 	.512 	.138 	.628 	3.0 	5.4 	4.3 	14.8 	2.5 	0.3 	13.8 	16.9 	105 	104 	0.9 	0.7 	1.6 	.090
14 	Darrell Armstrong 	PG 	32 	ORL 	75 	2767 	18.6 	.535 	.484 	.249 	.402 	3.7 	10.2 	6.9 	31.3 	2.5 	0.3 	15.2 	21.0 	110 	103 	5.8 	2.9 	8.7 	.151
15 	Chucky Atkins 	PG 	26 	DET 	81 	2363 	12.2 	.481 	.463 	.137 	.356 	1.2 	6.7 	3.9 	24.3 	1.4 	0.1 	12.9 	21.2 	99 	106 	1.2 	1.6 	2.8 	.057
16 	Stacey Augmon 	SG 	32 	POR 	66 	1182 	12.3 	.511 	.477 	.327 	.015 	6.3 	9.7 	8.0 	12.7 	2.2 	1.3 	13.6 	13.9 	107 	103 	1.3 	1.2 	2.5 	.102
17 	Isaac Austin 	C 	31 	VAN 	52 	845 	8.3 	.393 	.367 	.148 	.089 	6.8 	23.1 	15.0 	11.2 	1.2 	1.9 	15.8 	18.5 	81 	103 	-1.3 	0.9 	-0.5 	-0.026
18 	William Avery 	PG 	21 	MIN 	55 	463 	9.0 	.482 	.438 	.250 	.410 	1.2 	6.0 	3.6 	24.0 	1.5 	0.6 	22.0 	20.0 	91 	108 	-0.2 	0.2 	0.0 	-0.003
19 	Dalibor Bagaric 	C 	20 	CHI 	35 	259 	3.3 	.304 	.262 	.431 	.015 	9.7 	16.2 	12.8 	6.2 	1.9 	4.6 	21.4 	17.6 	65 	104 	-0.9 	0.2 	-0.7 	-0.121
20 	Vin Baker 	PF 	29 	SEA 	76 	2129 	13.0 	.481 	.423 	.391 	.019 	9.7 	13.5 	11.6 	7.0 	0.9 	2.5 	14.1 	23.8 	97 	107 	0.6 	1.2 	1.8 	.040
21 	Erick Barkley 	PG 	22 	POR 	8 	38 	10.3 	.432 	.432 	.000 	.364 	0.0 	9.1 	4.7 	28.8 	2.8 	0.0 	18.5 	33.0 	82 	103 	-0.1 	0.0 	-0.1 	-0.075
22 	Dana Barros 	PG 	33 	DET 	60 	1079 	14.3 	.534 	.498 	.194 	.255 	0.6 	8.9 	4.7 	18.0 	1.4 	0.1 	11.8 	20.4 	106 	105 	1.4 	0.8 	2.3 	.101
23 	Brent Barry 	SG 	29 	SEA 	67 	1778 	16.6 	.660 	.630 	.257 	.571 	2.1 	11.4 	6.8 	19.4 	2.4 	0.6 	16.2 	13.5 	124 	106 	4.6 	1.2 	5.8 	.157
24 	Jon Barry 	SG 	31 	SAC 	62 	1010 	12.4 	.550 	.494 	.286 	.518 	1.8 	8.1 	5.0 	19.0 	1.4 	0.4 	15.6 	14.9 	110 	104 	1.5 	0.9 	2.4 	.114
25 	Tony Battie 	C 	24 	BOS 	40 	845 	15.2 	.562 	.537 	.343 	.015 	9.7 	23.1 	16.1 	3.3 	1.7 	5.4 	13.8 	14.4 	108 	99 	1.0 	1.3 	2.3 	.131
26 	Raja Bell 	SG 	24 	PHI 	5 	30 	-0.6 	.357 	.357 	.000 	.429 	0.0 	3.7 	1.9 	0.0 	1.8 	0.0 	22.2 	13.6 	59 	104 	-0.1 	0.0 	-0.1 	-0.091
27 	Jonathan Bender 	SF 	20 	IND 	59 	574 	7.6 	.447 	.384 	.366 	.220 	2.9 	11.5 	7.3 	9.4 	0.7 	3.5 	16.3 	21.0 	85 	104 	-0.7 	0.5 	-0.1 	-0.012
28 	Corey Benjamin 	PG 	22 	CHI 	65 	857 	8.8 	.453 	.416 	.275 	.268 	5.1 	8.9 	6.9 	14.6 	1.8 	1.4 	15.7 	21.8 	88 	109 	-0.8 	0.3 	-0.5 	-0.028
29 	David Benoit 	SF 	32 	UTA 	49 	446 	11.1 	.542 	.500 	.265 	.088 	5.7 	16.6 	11.3 	8.4 	0.7 	1.1 	14.6 	19.8 	102 	105 	0.4 	0.4 	0.7 	.080
30 	Travis Best 	PG 	28 	IND 	77 	2457 	16.7 	.517 	.464 	.287 	.123 	1.8 	8.2 	5.1 	34.0 	2.4 	0.3 	12.5 	19.3 	110 	104 	4.8 	2.3 	7.2 	.140
