24 	Vin Baker 	C 	30 	SEA 	55 	1710 	14.1 	.517 	.486 	.348 	.012 	11.8 	12.3 	12.1 	7.0 	0.7 	1.6 	14.5 	23.8 	101 	109 	1.3 	0.9 	2.2 	.061
25 	Erick Barkley 	PG 	23 	POR 	19 	228 	9.8 	.401 	.360 	.147 	.103 	2.5 	6.8 	4.6 	22.9 	4.0 	0.3 	14.2 	16.9 	93 	103 	-0.1 	0.3 	0.2 	.044
26 	Dana Barros 	PG 	34 	DET 	29 	582 	10.5 	.473 	.448 	.141 	.370 	0.2 	11.3 	5.8 	22.5 	1.3 	0.2 	13.9 	19.2 	96 	106 	0.0 	0.5 	0.5 	.040
27 	Brent Barry 	SG 	30 	SEA 	81 	3040 	19.3 	.652 	.611 	.296 	.490 	2.3 	14.6 	8.6 	21.3 	2.6 	0.9 	15.6 	16.2 	124 	104 	8.8 	3.3 	12.1 	.191
28 	Jon Barry 	SG 	32 	DET 	82 	1985 	17.7 	.645 	.604 	.222 	.494 	2.5 	11.3 	6.9 	23.2 	2.5 	0.7 	16.2 	16.2 	120 	103 	5.0 	2.5 	7.5 	.180
29 	Mengke Bateer 	C 	26 	DEN 	27 	408 	8.0 	.469 	.417 	.280 	.091 	8.5 	18.8 	13.4 	8.9 	1.3 	0.9 	17.8 	19.8 	92 	107 	-0.2 	0.3 	0.1 	.007
30 	Tony Battie 	C 	25 	BOS 	74 	1819 	14.5 	.570 	.541 	.333 	.005 	10.8 	18.4 	14.5 	3.2 	1.7 	2.9 	10.2 	12.5 	118 	99 	3.2 	3.0 	6.2 	.164
31 	Shane Battier 	SF 	23 	MEM 	78 	3097 	13.9 	.518 	.482 	.294 	.287 	6.5 	8.6 	7.5 	11.9 	2.1 	1.8 	12.5 	18.2 	104 	107 	2.7 	2.1 	4.8 	.074
32 	Charlie Bell 	SG 	22 	TOT 	7 	44 	-1.8 	.337 	.273 	.182 	.545 	5.1 	7.7 	6.4 	6.4 	0.0 	0.0 	29.6 	17.2 	61 	111 	-0.2 	0.0 	-0.2 	-0.172
33 	Raja Bell 	SG 	25 	PHI 	74 	890 	8.6 	.486 	.454 	.200 	.183 	4.0 	10.1 	7.1 	13.4 	1.3 	0.3 	15.5 	15.9 	97 	104 	0.1 	1.0 	1.1 	.059
34 	Jonathan Bender 	SF 	21 	IND 	78 	1647 	10.6 	.538 	.479 	.393 	.272 	4.5 	12.0 	8.4 	6.1 	0.6 	2.1 	15.1 	17.5 	101 	107 	0.8 	1.3 	2.0 	.059
35 	Travis Best 	PG 	29 	TOT 	74 	1747 	14.3 	.511 	.460 	.224 	.114 	1.3 	8.7 	5.0 	31.3 	2.7 	0.3 	14.8 	17.5 	106 	106 	1.9 	1.4 	3.4 	.093
36 	Mike Bibby 	PG 	23 	SAC 	80 	2659 	14.9 	.513 	.479 	.196 	.140 	1.5 	7.3 	4.5 	23.0 	1.6 	0.4 	11.1 	19.7 	107 	105 	3.7 	2.6 	6.3 	.113
37 	Chauncey Billups 	PG 	25 	MIN 	82 	2355 	17.6 	.555 	.498 	.284 	.383 	1.7 	9.2 	5.5 	29.2 	1.5 	0.5 	13.0 	20.4 	116 	108 	6.1 	1.5 	7.6 	.156
38 	Mookie Blaylock 	PG 	34 	GSW 	35 	599 	9.2 	.398 	.394 	.055 	.288 	1.4 	8.1 	4.7 	28.2 	2.0 	0.5 	19.8 	13.1 	92 	111 	-0.2 	0.1 	-0.1 	-0.004
39 	Corie Blount 	PF 	33 	PHI 	72 	1426 	10.2 	.478 	.458 	.179 	.004 	12.0 	17.2 	14.6 	4.9 	1.9 	1.4 	16.1 	10.4 	103 	100 	0.7 	2.4 	3.1 	.104
