26 	527	32 	20 	12 	.625 	8.95 	5.91 	8 	8 	11 	5 	5 	4 	2354 	2257 	0.0	801 	1913 	.419 	212 	629 	.337 	540 	776 	.696 	0.0	1192 	431 	259 	106 	449 	
27 	528	32 	22 	10 	.688 	-4.68 	-7.81 	13 	3 	11 	2 	9 	6 	2147 	2047 	0.0	748 	1767 	.423 	203 	567 	.358 	448 	651 	.688 	0.0	1200 	399 	192 	84 	415 	
28 	529	33 	24 	9 	.727 	7.68 	1.46 	12 	6 	13 	1 	7 	6 	2464 	2238 	0.0	834 	1709 	.488 	203 	520 	.390 	593 	791 	.750 	0.0	1063 	473 	209 	93 	462 	
29 	530	29 	9 	20 	.310 	-3.55 	0.73 	5 	13 	6 	7 	2 	10 	1759 	1883 	0.0	587 	1508 	.389 	134 	431 	.311 	451 	630 	.716 	0.0	1019 	311 	176 	100 	415 	
30 	536	30 	18 	12 	.600 	9.35 	5.35 	7 	7 	17 	0 	1 	11 	2115 	1951 	0.0	711 	1514 	.470 	170 	428 	.397 	523 	688 	.760 	0.0	1000 	420 	158 	92 	412 	
31 	531	27 	17 	10 	.630 	-3.54 	-5.89 	8 	6 	9 	4 	7 	6 	2090 	1997 	0.0	716 	1568 	.457 	164 	441 	.372 	494 	656 	.753 	0.0	947 	448 	245 	80 	385 	
32 	533	29 	13 	16 	.448 	-10.24 	-7.07 	8 	6 	7 	3 	4 	11 	1791 	1883 	0.0	626 	1461 	.428 	157 	457 	.344 	382 	614 	.622 	0.0	959 	361 	205 	84 	480 	
33 	534	30 	12 	18 	.400 	-2.78 	-0.48 	7 	11 	7 	5 	4 	11 	2018 	2087 	0.0	697 	1672 	.417 	198 	580 	.341 	426 	652 	.653 	0.0	1074 	391 	191 	67 	465 	
34 	535	32 	26 	6 	.813 	11.14 	-0.40 	12 	4 	11 	2 	10 	3 	2251 	1849 	0.0	788 	1743 	.452 	280 	731 	.383 	395 	578 	.683 	0.0	983 	468 	250 	74 	322 	
35 	538	27 	15 	12 	.556 	-1.28 	-1.48 	9 	9 	11 	2 	4 	9 	1870 	1833 	0.0	666 	1564 	.426 	190 	562 	.338 	348 	512 	.680 	0.0	937 	368 	193 	71 	376 	
36 	564	27 	5 	22 	.185 	-11.41 	-1.06 	2 	16 	4 	9 	1 	13 	1689 	1922 	0.0	579 	1448 	.400 	163 	513 	.318 	368 	560 	.657 	0.0	873 	329 	160 	90 	409 	
37 	565	28 	12 	16 	.429 	-2.89 	0.41 	11 	7 	7 	6 	5 	9 	1911 	1946 	0.0	661 	1589 	.416 	158 	476 	.332 	431 	647 	.666 	0.0	1006 	389 	289 	58 	457 	
38 	807	32 	21 	11 	.656 	3.44 	-0.19 	13 	5 	10 	2 	7 	6 	2220 	2089 	0.0	783 	1652 	.474 	177 	477 	.371 	477 	698 	.683 	0.0	1121 	405 	206 	76 	457 	
39 	808	26 	8 	18 	.308 	-7.18 	-0.62 	5 	13 	4 	7 	4 	10 	1678 	1835 	0.0	601 	1398 	.430 	153 	482 	.317 	323 	501 	.645 	0.0	918 	330 	127 	116 	421 	
40 	757	31 	20 	11 	.645 	5.55 	-0.05 	11 	7 	11 	2 	5 	8 	2066 	1889 	0.0	693 	1544 	.449 	201 	499 	.403 	479 	634 	.756 	0.0	1078 	454 	171 	87 	423 	
41 	539	32 	23 	9 	.719 	13.08 	7.45 	12 	6 	18 	1 	4 	7 	2310 	2130 	0.0	835 	1849 	.452 	187 	595 	.314 	453 	669 	.677 	0.0	1087 	487 	254 	132 	423 	
42 	540	27 	8 	19 	.296 	-15.39 	-5.20 	6 	14 	7 	6 	1 	13 	1909 	2158 	0.0	680 	1542 	.441 	169 	463 	.365 	380 	541 	.702 	0.0	897 	376 	148 	73 	404 	
43 	541	30 	10 	20 	.333 	-8.16 	-4.83 	5 	13 	6 	7 	2 	12 	1965 	2065 	0.0	691 	1806 	.383 	204 	636 	.321 	379 	552 	.687 	0.0	1079 	395 	226 	93 	387 	
44 	543	27 	14 	13 	.519 	-5.98 	-1.48 	0.0	0.0	11 	2 	2 	11 	1947 	1872 	0.0	684 	1526 	.448 	169 	438 	.386 	410 	600 	.683 	0.0	896 	349 	214 	70 	392 	
45 	544	32 	27 	5 	.844 	-1.10 	-9.29 	19 	1 	13 	2 	11 	2 	2280 	2018 	0.0	814 	1777 	.458 	139 	397 	.350 	513 	697 	.736 	0.0	1247 	426 	215 	107 	480 	
46 	809	29 	17 	12 	.586 	-1.20 	-6.38 	12 	8 	12 	4 	5 	8 	2249 	2070 	0.0	817 	1739 	.470 	200 	492 	.407 	415 	587 	.707 	0.0	1068 	429 	248 	105 	443 	
47 	537	28 	9 	19 	.321 	-3.59 	1.33 	5 	13 	7 	6 	2 	12 	1960 	2071 	0.0	677 	1475 	.459 	122 	408 	.299 	484 	699 	.692 	0.0	940 	334 	197 	65 	443 	
48 	545	29 	12 	17 	.414 	-14.19 	-6.23 	8 	6 	9 	4 	3 	12 	1823 	1981 	0.0	651 	1513 	.430 	136 	441 	.308 	385 	574 	.671 	0.0	1003 	335 	242 	84 	533 	
49 	546	30 	18 	12 	.600 	13.61 	8.68 	11 	5 	11 	3 	6 	7 	2205 	2057 	0.0	761 	1730 	.440 	247 	676 	.365 	436 	616 	.708 	0.0	1136 	416 	203 	72 	408 	
