LeBron James 	11.2416544326	9.41491853653
Jeff Adrien 	10.7810419031	11.5218622758
Kevin Love 	8.90790268872	7.83942688167
Serge Ibaka 	8.35434239782	8.79735668649
Thaddeus Young 	8.2958267402	7.07771047401
Carmelo Anthony 	8.01769736811	7.07107856791
Blake Griffin 	7.09031891459	5.64245726639
Paul Millsap 	7.07913013978	5.1057823702
Derrick Favors 	5.36479002425	4.69232760655
David Lee 	4.57606020929	3.66367646646
Dirk Nowitzki 	4.55828019827	5.45360631462
Terrence Jones 	4.523822829	4.56020293652
Jared Sullinger 	4.24992759215	4.28240390011
Kenneth Faried 	4.19370979835	2.80319362731
Jarvis Varnado 	4.07010402987	3.97808731821
John Henson 	3.73115921011	1.76876741617
Greg Monroe 	3.49948587858	2.32133564183
Tobias Harris 	3.34852305753	4.65951092836
Ryan Anderson 	3.25415355899	4.23291144051
Nene Hilario 	3.11994276509	0.843148747624
Channing Frye 	2.99489598264	3.97474327008
LaMarcus Aldridge 	2.79070812441	1.91350572
J.J. Hickson 	2.74307674258	0.264022268488
David West 	2.72563591773	2.34384471384
Zach Randolph 	2.64874860828	1.02243016624
Taj Gibson 	2.5326169664	1.63927924565
Ronny Turiaf 	2.31521132814	0.966710599372
Jordan Hill 	2.28083677176	2.4403629854
Mason Plumlee 	2.11545127695	2.12682087116
Markieff Morris 	1.58579050484	2.64350786007
Josh McRoberts 	1.05946819007	0.830651353977
Amir Johnson 	0.966250108042	1.60183384777
Tristan Thompson 	0.922200230531	1.26582636174
Patrick Patterson 	0.80228017082	0.969249177157
Andray Blatche 	0.689663299573	0.677196133383
Elton Brand 	0.414947352779	0.634227293355
Boris Diaw 	0.401407880248	0.816408023821
Trevor Booker 	-0.0919117943429	0.147514556413
Ed Davis 	-0.207817537211	-1.14391939802
Ryan Kelly 	-0.240866598047	1.51658649814
Brandon Bass 	-0.33643223583	0.629233587679
Marvin Williams 	-0.49501086225	-0.830432674513
Carlos Boozer 	-0.949782076752	-2.45256401624
Glen Davis 	-0.950256029965	-0.907562084108
Omri Casspi 	-1.12128909225	-0.587699994769
Kris Humphries 	-1.18981438264	0.279823528
Andrei Kirilenko 	-1.24246773814	-2.33043560161
Nick Collison 	-1.5525642359	-1.11222330218
DeJuan Blair 	-1.68089078401	-1.26053397651
Jan Vesely 	-1.75538700856	-3.25063096876
Kenyon Martin 	-1.84641219059	-2.26480416637
Pero Antic 	-1.86271536963	-2.44400188076
Jason Thompson 	-1.87420008276	-3.08399127314
Jonas Jerebko 	-1.97883927359	-0.231608017744
Jason Smith 	-2.00413987457	-1.79268800512
Jeff Ayres 	-2.00693864544	-2.07815419449
Jermaine O'Neal 	-2.01649605946	-1.49742985694
Lavoy Allen 	-2.15944622468	-1.83872348046
Derrick Williams 	-2.19824972958	-0.349151518641
Shawne Williams 	-2.34840387581	-3.11878761327
Ersan Ilyasova 	-2.35065195206	-0.71472869878
Luis Scola 	-2.41287794529	-2.56372785216
Mike Scott 	-2.47033383187	-2.67036019061
Anthony Randolph 	-2.53317414112	-1.36863077063
Reggie Evans 	-2.54972727688	-3.32999819229
Donatas Motiejunas 	-2.60011816596	-1.65204207505
Luke Babbitt 	-2.90591443796	-1.49148335347
Jason Maxiell 	-2.95102374651	-4.08679879397
Thomas Robinson 	-3.06530407769	-3.24450531353
Jon Leuer 	-3.39126919424	-2.56354297666
Brandon Davies 	-3.45223846659	-4.19360271489
Mike Harris 	-3.59123409737	-1.46984877223
Udonis Haslem 	-3.64827037976	-4.19777173596
Anthony Tolliver 	-3.66765940568	-2.20479247443
Carl Landry 	-3.74453155253	-2.05675450606
Ekpe Udoh 	-3.75069817048	-3.93509252124
Matt Bonner 	-3.82311309114	-2.80493160598
Al Harrington 	-4.22618680866	-4.21477918192
Tyler Hansbrough 	-4.35450194532	-3.53807970965
Arnett Moultrie 	-4.37977609591	-2.83429805599
Luc Mbah a Moute 	-4.91279982462	-4.03013941751
Andrew Nicholson 	-4.98874615625	-3.68395213363
Earl Clark 	-5.04439609072	-4.30537910154
Perry Jones 	-5.12173705071	-3.01328411291
Steve Novak 	-5.34858117425	-2.51556018297
Antawn Jamison 	-6.1868313782	-5.6990129459
Andre Roberson 	-6.22474067865	-4.54983286208
